dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high
vt_h6_c1,33,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,0.4375,0.2828282828282828,0.4375,32728672.0,42,0.4375,0.578125
vt_h6_c1,33,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,0.578125,0.2803030303030303,0.578125,28601492.0,42,0.578125,0.703125
vt_h6_c1,33,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.515625,1.0,1.0,0.7577136158943176,1,0.515625,0.515625
vt_h6_c1,33,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.859375,0.8333333333333334,0.859375,0.1847275048494339,1,0.859375,0.859375
vt_h6_c1,33,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,1.0,0.6464646464646465,1.0,0.09522613137960434,1,1.0,1.0
vt_h6_c1,33,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,1.0,0.48484848484848486,1.0,0.04788869619369507,1,1.0,1.0
vt_h6_c1,33,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.515625,1.0,1.0,1.2181220054626465,1,0.515625,0.515625
vt_h6_c1,33,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.859375,0.8333333333333334,0.859375,0.49207842350006104,1,0.859375,0.859375
vt_h6_c1,33,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,0.953125,0.6161616161616161,0.953125,0.2582419812679291,1,0.953125,0.953125
vt_h6_c1,33,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,0.984375,0.4772727272727273,0.984375,0.19454379379749298,1,0.984375,0.984375
vt_h6_c1,33,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,64,33,0.19393939393939394,0.515625,0.1,0.515625,1.0,1.0,0.23210301995277405,1,0.515625,0.515625
vt_h6_c1,33,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,64,66,0.19393939393939394,1.0,0.2,0.8125,0.7878787878787878,0.8125,0.06974416971206665,1,0.8125,0.8125
vt_h6_c1,33,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.3,330,64,99,0.19393939393939394,1.0,0.3,1.0,0.6464646464646465,1.0,0.041504401713609695,1,1.0,1.0
vt_h6_c1,33,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.4,330,64,132,0.19393939393939394,1.0,0.4,1.0,0.48484848484848486,1.0,0.021807635203003883,1,1.0,1.0
vt_h6_c1,34,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.5230769230769231,1.0,1.0,0.7832426428794861,1,0.5230769230769231,0.5230769230769231
vt_h6_c1,34,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.9384615384615385,0.9104477611940298,0.9384615384615385,0.0800504982471466,1,0.9384615384615385,0.9384615384615385
vt_h6_c1,34,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,0.9538461538461539,0.62,0.9538461538461539,0.04212472587823868,1,0.9538461538461539,0.9538461538461539
vt_h6_c1,34,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,0.9538461538461539,0.46616541353383456,0.9538461538461539,0.0284392312169075,1,0.9538461538461539,0.9538461538461539
vt_h6_c1,34,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.5230769230769231,1.0,1.0,0.2243485152721405,1,0.5230769230769231,0.5230769230769231
vt_h6_c1,34,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.8153846153846154,0.7910447761194029,0.8153846153846154,0.07623158395290375,1,0.8153846153846154,0.8153846153846154
vt_h6_c1,34,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,1.0,0.65,1.0,0.03427816927433014,1,1.0,1.0
vt_h6_c1,34,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,1.0,0.48872180451127817,1.0,0.01942712627351284,1,1.0,1.0
vt_h6_c1,34,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.16923076923076924,0.3235294117647059,0.3235294117647059,39.230247497558594,44,0.13846153846153847,0.2923076923076923
vt_h6_c1,34,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.3076923076923077,0.29850746268656714,0.3076923076923077,19.636117935180664,42,0.2923076923076923,0.4153846153846154
vt_h6_c1,34,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,0.5230769230769231,0.34,0.5230769230769231,15.958192825317383,43,0.4153846153846154,0.5692307692307692
vt_h6_c1,34,Perturbation,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,0.5692307692307692,0.2781954887218045,0.5692307692307692,15.062797546386719,42,0.5692307692307692,0.6307692307692307
vt_h6_c1,34,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.16923076923076924,0.3235294117647059,0.3235294117647059,36.02497100830078,44,0.13846153846153847,0.2923076923076923
vt_h6_c1,34,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.3076923076923077,0.29850746268656714,0.3076923076923077,25.694171905517578,42,0.2923076923076923,0.4153846153846154
vt_h6_c1,34,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,0.5230769230769231,0.34,0.5230769230769231,14.525894165039062,43,0.4153846153846154,0.5692307692307692
vt_h6_c1,34,REAGENT,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,0.5692307692307692,0.2781954887218045,0.5692307692307692,11.441956520080566,42,0.5692307692307692,0.6307692307692307
vt_h6_c1,34,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.16923076923076924,0.3235294117647059,0.3235294117647059,71452624.0,44,0.13846153846153847,0.2923076923076923
vt_h6_c1,34,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.4461538461538462,0.43283582089552236,0.4461538461538462,36499164.0,42,0.2923076923076923,0.4461538461538462
vt_h6_c1,34,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,0.4461538461538462,0.29,0.4461538461538462,33977652.0,41,0.4461538461538462,0.5846153846153846
vt_h6_c1,34,CLP,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,0.5846153846153846,0.2857142857142857,0.5846153846153846,30491948.0,43,0.5846153846153846,0.676923076923077
vt_h6_c1,34,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.5230769230769231,1.0,1.0,0.6424590349197388,1,0.5230769230769231,0.5230769230769231
vt_h6_c1,34,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.8307692307692308,0.8059701492537313,0.8307692307692308,0.21907638013362885,1,0.8307692307692308,0.8307692307692308
vt_h6_c1,34,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,1.0,0.65,1.0,0.08475568890571594,1,1.0,1.0
vt_h6_c1,34,IFR,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,1.0,0.48872180451127817,1.0,0.045514315366744995,1,1.0,1.0
vt_h6_c1,34,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.5230769230769231,1.0,1.0,1.2882510423660278,1,0.5230769230769231,0.5230769230769231
vt_h6_c1,34,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.8769230769230769,0.8507462686567164,0.8769230769230769,0.5218515396118164,1,0.8769230769230769,0.8769230769230769
vt_h6_c1,34,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,0.9538461538461539,0.62,0.9538461538461539,0.29866528511047363,1,0.9538461538461539,0.9538461538461539
vt_h6_c1,34,AttnLRP,answer_only,signed_sum,raw,eligible_body_tokens,0.4,331,65,133,0.19637462235649547,1.0,0.40181268882175225,0.9692307692307692,0.47368421052631576,0.9692307692307692,0.21347886323928833,1,0.9692307692307692,0.9692307692307692
vt_h6_c1,34,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,65,34,0.19637462235649547,0.5230769230769231,0.1027190332326284,0.5230769230769231,1.0,1.0,0.22992689907550812,1,0.5230769230769231,0.5230769230769231
vt_h6_c1,34,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.2,331,65,67,0.19637462235649547,1.0,0.20241691842900303,0.8153846153846154,0.7910447761194029,0.8153846153846154,0.07976736128330231,1,0.8153846153846154,0.8153846153846154
vt_h6_c1,34,FT_K1,answer_only,signed_sum,raw,eligible_body_tokens,0.3,331,65,100,0.19637462235649547,1.0,0.3021148036253776,1.0,0.65,1.0,0.0343935452401638,1,1.0,1.0
