dataset,method,aggregation,view,budget_unit,fraction,n,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences,empty_selection,ceiling,budget,recall_tie_low,recall_tie_high
vt_h10_c1,CLP,native_positive_normalized,raw,eligible_body_tokens,0.1,100,0.41287878787878785,0.13466944581598994,,,,,,,,,,0.3260639836955653,33.53,0.10843098722757281,0.1824208041248828
vt_h10_c1,CLP,native_positive_normalized,raw,eligible_body_tokens,0.2,100,0.42056520155291,0.2720821866632934,,,,,,,,,,0.6471371001796151,66.54,0.18973993841445666,0.3602457698228295
vt_h10_c1,CLP,signed_sum,density,eligible_body_tokens,0.05,100,0.5547058823529412,0.09175769760284437,,,,,,,,,,0.16537378248954515,17.0,0.09175769760284437,0.09175769760284437
vt_h10_c1,CLP,signed_sum,density,eligible_body_tokens,0.1,100,0.39672905525846686,0.1293208779166029,,,,,,,,,,0.3260639836955653,33.53,0.1293208779166029,0.1293208779166029
vt_h10_c1,CLP,signed_sum,density,eligible_body_tokens,0.2,100,0.4201674003491387,0.2718827510001378,,,,,,,,,,0.6471371001796151,66.54,0.2718827510001378,0.2718827510001378
vt_h10_c1,CLP,signed_sum,raw,eligible_body_tokens,0.05,100,0.5788235294117646,0.0956770497224828,,,,,,,,,,0.16537378248954515,17.0,0.0002830188679245283,0.1650716616412058
vt_h10_c1,CLP,signed_sum,raw,eligible_body_tokens,0.1,100,0.4023529411764706,0.1311516581117102,,,,,,,,,,0.3260639836955653,33.53,0.1037155218640072,0.1851887006646463
vt_h10_c1,CLP,signed_sum,raw,eligible_body_tokens,0.2,100,0.42420403535592294,0.2744771404855014,,,,,,,,,,0.6471371001796151,66.54,0.19111670854569385,0.36162397921979583
vt_h10_c1,DT,signed_sum,density,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,DT,signed_sum,density,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,DT,signed_sum,density,eligible_body_tokens,0.2,100,1.0,0.6471371001796151,,,,,,,,,,0.6471371001796151,66.54,0.6471371001796151,0.6471371001796151
vt_h10_c1,DT,signed_sum,raw,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,DT,signed_sum,raw,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,DT,signed_sum,raw,eligible_body_tokens,0.2,100,0.9997014925373133,0.6469484209343321,,,,,,,,,,0.6471371001796151,66.54,0.6469484209343321,0.6469484209343321
vt_h10_c1,FT_K1,signed_sum,density,eligible_body_tokens,0.05,100,1.0,0.16537378248954515,,,,,,,,,,0.16537378248954515,17.0,0.16537378248954515,0.16537378248954515
vt_h10_c1,FT_K1,signed_sum,density,eligible_body_tokens,0.1,100,1.0,0.3260639836955653,,,,,,,,,,0.3260639836955653,33.53,0.3260639836955653,0.3260639836955653
vt_h10_c1,FT_K1,signed_sum,density,eligible_body_tokens,0.2,100,1.0,0.6471371001796151,,,,,,,,,,0.6471371001796151,66.54,0.6471371001796151,0.6471371001796151
