dataset,index,input_sha256,prompt_length,target_length,DT_RISE,DT_MAS,DT_Recall10,signed_RISE_source
niah_mq_q4,4,fcb909c04cc31c55ffa684176cd24ff8c53af8c29aa11a8b629d7343392464f8,350,419,0.23923679060665362,0.3285191912222096,0.189873417721519,proof
niah_mq_q4,5,a53f8cf2469405f8c9244471cebf734741cc006f3fc7e33afa588b7d72e7968e,953,407,0.07752780586450961,0.11228780471277003,0.5974025974025974,proof
niah_mq_q4,6,b158dc8a9700b9d25dbdc8cd22202e48a12868247edc8572512f09c41aa9d118,950,380,0.0691860465116279,0.08856766769276173,0.5921052631578947,proof
niah_mq_q4,7,6e5f6608835a557ea92b28e5698803143ab2340dd76c01384dac589289626daa,959,398,0.07362248696947134,0.0983832562739982,0.7088607594936709,proof
niah_mq_q4,8,26456f1ffcd76be3e77417e32ea1717402f87992ab1de616dd34a7c54446b0dc,956,374,0.09649234693877551,0.12373808881332835,0.6153846153846154,proof
niah_mq_q4,9,260cdf611538a249c17994fd8423b19ded7ff7dc6590260ee5d405c99412f407,956,383,0.076998001998002,0.1039968639708017,0.5641025641025641,proof
niah_mq_q4,10,8619da039900b6c30461fb9646cecae3c3dd0f35a01f565254aaab4bffa84629,959,398,0.07180616740088105,0.10050194570537019,0.5822784810126582,proof
niah_mq_q4,11,594fcdb762fc20acd54ac4821e22885ebc3511506871496b00e27367e07a8ec5,953,366,0.10190707350901526,0.1365567141116773,0.6363636363636364,proof
niah_mq_q4,12,ffbff685351e4cd2682bc99d24cbf707a906aff65524efe3a69890eec4d4b1e9,353,373,0.23396317829457364,0.318952787697217,0.225,proof
niah_mq_q4,13,a7dbb8c4ef6ca989008e18472310a98b0695a295b92f16b668353ec4af5a238e,950,395,0.0796210268948655,0.11224524838429026,0.5526315789473685,proof
niah_mq_q4,14,1254b4440a7f7d0213279dfbe1fa47a8e69900c5ed9796a4f2016dc9b27c0d3c,348,369,0.19665689930740546,0.27074167670882865,0.15384615384615385,proof
niah_mq_q4,15,1b86d7520f09594b46351d07e7474b833037294b22b5eac3e0f4f8585032037b,353,478,0.22003577817531306,0.285416528456056,0.225,proof
niah_mq_q4,16,2cdedac83ea3297ab5dd6de709dee77fe4f45cb19a11824c07311f6d077733b0,953,489,0.0997320692497939,0.1299660451107931,0.5324675324675324,original_signed_call
niah_mq_q4,17,5de4830bad1ba44d623ec9f214f4adf836d0c27f90afd02ae8d4320c3ebd3979,956,449,0.07833333333333332,0.11055964992629512,0.6666666666666666,proof
niah_mq_q4,18,f7bf913ded37769959d837fd632b8435acfeedfb430fe0a0902f7eda1cb45da9,350,399,0.26865781710914455,0.39447582440596285,0.21518987341772153,original_signed_call
niah_mq_q4,19,88f900fc912e0b6855b87d40664f315323fd43bdbb79f695732a6b914835347c,348,406,0.2353151862464183,0.34169745786242095,0.21794871794871795,proof
niah_mq_q4,20,49b5408ae0646b165dcce13877d2c3fdd25738ebcdade236a1ae65e73fe79857,953,388,0.06520156774916012,0.08287203386058864,0.5844155844155844,proof
niah_mq_q4,21,e624fcc80a533e8c62447a1131279976497c21c6be37f9c378eadd6af360974c,956,387,0.13224637681159424,0.18410942202550218,0.6410256410256411,original_signed_call
niah_mq_q4,22,983d3017f9321e026cadf3a1b4c0064bc931e85706ce04d52a144eb7f1cd94bf,950,378,0.06445908460471568,0.09158434210099023,0.6578947368421053,proof
niah_mq_q4,23,8eb1378b8950b1cb05244c010f088cea01bd3fe09c3f3378e37af6e1e46ec8f3,348,427,0.18395316804407713,0.23119656643733025,0.20512820512820512,original_signed_call
niah_mq_q4,24,5eeb27145edb36c647a46b78db2da11feeda4164a16657a2b671780c75651273,956,414,0.08419037199124726,0.11102080957802932,0.5897435897435898,proof
niah_mq_q4,25,2deaef541b0c02718dca70c8eaa86a2fee0b941d6f104dec649f8b952dd61126,947,387,0.07381070366699702,0.09838406200696985,0.6,proof
niah_mq_q4,26,55a4e1af05325b7d7429a0cac6d5d1ed7ff667b14b814ef9afdf90a48616630f,959,394,0.09126506024096384,0.13477108179262892,0.569620253164557,proof
niah_mq_q4,27,09390a92b2ada165884746aa41c2760494ebfda55e8a202f571a55723bb71c3c,953,361,0.11488247317322434,0.1579993277793726,0.6363636363636364,original_signed_call
niah_mq_q4,28,3562afd3e2ff09933b258b0ae7dadffee86dc77ff5c5c158e004985a29af5621,959,385,0.07564069707842132,0.10441857665356044,0.6075949367088608,proof
niah_mq_q4,29,e8379d9f855801ea06ed2ab850767319f0865ae20f58624bde659fc2d52fd517,344,397,0.16212814645308926,0.20608507969552997,0.16883116883116883,original_signed_call
niah_mq_q4,30,07694688a1bcb70adb9f526124cab39dba17623b5e91616a19898146244a7c84,356,405,0.18561269146608317,0.23897394838436498,0.19753086419753085,proof
niah_mq_q4,31,f2cb1925b3580354da592583a617c8c68a9e08bb0ea39effe349b987e5f2edd2,962,433,0.08520573903627504,0.12077928012932937,0.5875,proof
niah_mq_q4,32,323cae375b617c04ed5d8737f73b3b5e460d5334f06dd17fce366db848116a1d,350,370,0.25096717467760843,0.37589160246446135,0.21518987341772153,proof
niah_mq_q4,33,4377a0cc72eb554d5a2bddc15ac111be56e7c0dceee2debd7794e5ee6112c4d4,950,517,0.07592491838955387,0.09907213810011425,0.5789473684210527,proof
niah_mq_q4,34,4e371d278fc5ce2d54f4429beefbc77bb3609cd9b85645c7562b186b947e3468,956,436,0.05681286549707602,0.07096384562292679,0.6153846153846154,proof
