target_mode,labels,subset,n,budget_unit,budget_value,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences
full,official_restored,unambiguous45,45,body_tokens,0.05,DT_target,0.5070370370370371,0.5037037037037037,0.48010582010582004,0.022222222222222223,0.1111111111111111,0.42646732810977334,0.6444444444444444,56.28888888888889,3.1777777777777776,2.8444444444444446
full,official_restored,unambiguous45,45,body_tokens,0.05,FT_K1,0.5211640211640212,0.5314814814814813,0.49839506172839504,0.022222222222222223,0.1111111111111111,0.4527575866805977,0.6444444444444444,56.333333333333336,3.1333333333333333,2.8666666666666667
full,official_restored,unambiguous45,45,body_tokens,0.05,FT_K3,0.5222751322751322,0.5314814814814813,0.499453262786596,0.022222222222222223,0.1111111111111111,0.4527575866805977,0.6444444444444444,56.333333333333336,3.1333333333333333,2.8444444444444446
full,official_restored,unambiguous45,45,body_tokens,0.1,DT_target,0.44331729998396663,0.7666666666666667,0.5369113602446937,0.06666666666666667,0.4444444444444444,0.714149497722337,0.9259259259259258,115.22222222222223,3.2222222222222223,5.0
full,official_restored,unambiguous45,45,body_tokens,0.1,FT_K1,0.45859066859066855,0.7648148148148147,0.5446859313525981,0.06666666666666667,0.4666666666666667,0.7151340585114986,0.9259259259259258,114.84444444444445,3.6,4.911111111111111
full,official_restored,unambiguous45,45,body_tokens,0.1,FT_K3,0.4801587301587301,0.7648148148148147,0.555873015873016,0.06666666666666667,0.4666666666666667,0.7268987643938515,0.9259259259259258,114.82222222222222,3.6222222222222222,4.777777777777778
full,official_restored,unambiguous45,45,body_tokens,0.2,DT_target,0.2958511631318649,0.9314814814814816,0.4348353540936661,0.0,0.8,0.9087752712802412,1.0,233.75555555555556,2.7111111111111112,9.155555555555555
full,official_restored,unambiguous45,45,body_tokens,0.2,FT_K1,0.2561158548671448,0.8574074074074073,0.38376067459658786,0.0,0.6444444444444445,0.8231040843815406,1.0,233.55555555555554,2.911111111111111,9.4
full,official_restored,unambiguous45,45,body_tokens,0.2,FT_K3,0.25788762435821255,0.8574074074074073,0.38571772988697656,0.0,0.6444444444444445,0.8231040843815406,1.0,233.55555555555554,2.911111111111111,9.355555555555556
full,official_restored,unambiguous45,45,sentences,2,DT_target,0.7444444444444445,0.5888888888888889,0.6466666666666667,0.15555555555555556,0.15555555555555556,0.5410259620612158,0.8296296296296294,54.84444444444444,0.0,2.0
full,official_restored,unambiguous45,45,sentences,2,FT_K1,0.7888888888888889,0.6333333333333334,0.6911111111111111,0.2222222222222222,0.2222222222222222,0.587433950778136,0.8296296296296294,57.53333333333333,0.0,2.0
full,official_restored,unambiguous45,45,sentences,2,FT_K3,0.8,0.6407407407407408,0.7000000000000001,0.2222222222222222,0.2222222222222222,0.6000982279585422,0.8296296296296294,59.0,0.0,2.0
full,official_restored,unambiguous45,45,sentences,4,DT_target,0.5166666666666667,0.812962962962963,0.6214285714285716,0.0,0.5333333333333333,0.7762541536866082,1.0,111.5111111111111,0.0,4.0
full,official_restored,unambiguous45,45,sentences,4,FT_K1,0.5055555555555555,0.7925925925925925,0.606878306878307,0.044444444444444446,0.5111111111111111,0.7608427617699396,1.0,112.64444444444445,0.0,4.0
full,official_restored,unambiguous45,45,sentences,4,FT_K3,0.5111111111111111,0.7999999999999998,0.6132275132275133,0.044444444444444446,0.5333333333333333,0.7727901930722094,1.0,111.53333333333333,0.0,4.0
full,official_restored,unambiguous45,45,sentences,8,DT_target,0.3,0.9425925925925926,0.44909090909090915,0.0,0.8222222222222222,0.9196767387854822,1.0,222.22222222222223,0.0,8.0
full,official_restored,unambiguous45,45,sentences,8,FT_K1,0.28055555555555556,0.8851851851851852,0.42033670033670034,0.0,0.7111111111111111,0.8581344842199194,1.0,217.46666666666667,0.0,8.0
full,official_restored,unambiguous45,45,sentences,8,FT_K3,0.28055555555555556,0.8851851851851852,0.42033670033670034,0.0,0.7111111111111111,0.8581344842199194,1.0,218.13333333333333,0.0,8.0
full,review_corrected,unambiguous45,45,body_tokens,0.05,DT_target,0.5144444444444444,0.5148148148148147,0.488994708994709,0.022222222222222223,0.1111111111111111,0.43586458594453115,0.6444444444444444,56.28888888888889,3.1777777777777776,2.8444444444444446
full,review_corrected,unambiguous45,45,body_tokens,0.05,FT_K1,0.5267195767195767,0.5425925925925925,0.5058024691358024,0.022222222222222223,0.13333333333333333,0.4638262595201038,0.6444444444444444,56.333333333333336,3.1333333333333333,2.8666666666666667
full,review_corrected,unambiguous45,45,body_tokens,0.05,FT_K3,0.5278306878306878,0.5425925925925925,0.5068606701940035,0.022222222222222223,0.13333333333333333,0.4638262595201038,0.6444444444444444,56.333333333333336,3.1333333333333333,2.8444444444444446
full,review_corrected,unambiguous45,45,body_tokens,0.1,DT_target,0.4488728555395222,0.7722222222222223,0.5424669158002492,0.06666666666666667,0.4444444444444444,0.7237928058031451,0.9259259259259258,115.22222222222223,3.2222222222222223,5.0
