target_mode,labels,subset,n,budget_unit,budget_value,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences
answer_only,review_corrected,all48,48,sentences,2,DT_target,0.625,0.5052083333333334,0.5493055555555556,0.08333333333333333,0.08333333333333333,0.4772046917603523,0.829861111111111,53.5,0.0,2.0
answer_only,review_corrected,all48,48,sentences,2,FT_K1,0.6666666666666666,0.5364583333333334,0.5847222222222223,0.125,0.125,0.5085236435456789,0.829861111111111,56.145833333333336,0.0,2.0
answer_only,review_corrected,all48,48,sentences,2,FT_K3,0.6875,0.5538194444444444,0.6034722222222222,0.14583333333333334,0.14583333333333334,0.5185548309962212,0.829861111111111,56.104166666666664,0.0,2.0
answer_only,review_corrected,all48,48,sentences,4,DT_target,0.46875,0.7395833333333334,0.5639880952380952,0.0,0.4375,0.7041651570848163,1.0,107.1875,0.0,4.0
answer_only,review_corrected,all48,48,sentences,4,FT_K1,0.4427083333333333,0.704861111111111,0.5347222222222222,0.0,0.375,0.6743287940566088,1.0,106.75,0.0,4.0
answer_only,review_corrected,all48,48,sentences,4,FT_K3,0.4427083333333333,0.704861111111111,0.5347222222222222,0.0,0.375,0.6743287940566088,1.0,106.47916666666667,0.0,4.0
answer_only,review_corrected,all48,48,sentences,8,DT_target,0.2708333333333333,0.8559027777777777,0.4058712121212121,0.0,0.6666666666666666,0.8224021510609244,1.0,212.70833333333334,0.0,8.0
answer_only,review_corrected,all48,48,sentences,8,FT_K1,0.25,0.78125,0.3736111111111111,0.0,0.5,0.7524827275980148,1.0,217.33333333333334,0.0,8.0
answer_only,review_corrected,all48,48,sentences,8,FT_K3,0.25,0.78125,0.3736111111111111,0.0,0.5,0.7524827275980148,1.0,217.5,0.0,8.0
full,official_restored,all48,48,body_tokens,0.05,DT_target,0.5031249999999999,0.5034722222222222,0.4786706349206349,0.020833333333333332,0.10416666666666667,0.42620079492808727,0.6562499999999999,56.020833333333336,3.0208333333333335,2.8541666666666665
full,official_restored,all48,48,body_tokens,0.05,FT_K1,0.5163690476190476,0.5295138888888888,0.495816798941799,0.020833333333333332,0.10416666666666667,0.4508479123382352,0.6562499999999999,56.104166666666664,2.9375,2.875
full,official_restored,all48,48,body_tokens,0.05,FT_K3,0.5312996031746032,0.5399305555555555,0.5093088624338624,0.041666666666666664,0.125,0.4656716302869531,0.6562499999999999,55.958333333333336,3.0833333333333335,2.8333333333333335
full,official_restored,all48,48,body_tokens,0.1,DT_target,0.43852663540163545,0.765625,0.5337115430865431,0.0625,0.4375,0.7133307135552505,0.9305555555555555,114.45833333333333,3.1666666666666665,5.020833333333333
full,official_restored,all48,48,body_tokens,0.1,FT_K1,0.4472898629148629,0.748263888888889,0.5328652828652829,0.0625,0.4375,0.6968258546797048,0.9305555555555555,114.10416666666667,3.5208333333333335,4.895833333333333
full,official_restored,all48,48,body_tokens,0.1,FT_K3,0.47271825396825395,0.7586805555555557,0.5502976190476191,0.0625,0.4583333333333333,0.7226789843931286,0.9305555555555555,114.20833333333333,3.4166666666666665,4.770833333333333
full,official_restored,all48,48,body_tokens,0.2,DT_target,0.29553176173241963,0.9357638888888888,0.4354719972766648,0.0,0.8125,0.9144768168252259,1.0,232.125,2.7083333333333335,9.145833333333334
full,official_restored,all48,48,body_tokens,0.2,FT_K1,0.25827991023424457,0.8663194444444445,0.387589485248154,0.0,0.6666666666666666,0.8341600791076943,1.0,232.02083333333334,2.8125,9.375
full,official_restored,all48,48,body_tokens,0.2,FT_K3,0.2599409441321206,0.8663194444444445,0.38942422458289333,0.0,0.6666666666666666,0.8341600791076943,1.0,232.02083333333334,2.8125,9.333333333333334
full,official_restored,all48,48,sentences,2,DT_target,0.7395833333333334,0.5833333333333334,0.6409722222222222,0.14583333333333334,0.14583333333333334,0.5335995142575646,0.829861111111111,54.3125,0.0,2.0
full,official_restored,all48,48,sentences,2,FT_K1,0.78125,0.625,0.6826388888888889,0.20833333333333334,0.20833333333333334,0.5771070036796773,0.829861111111111,56.833333333333336,0.0,2.0
full,official_restored,all48,48,sentences,2,FT_K3,0.7916666666666666,0.6319444444444444,0.6909722222222222,0.20833333333333334,0.20833333333333334,0.5889797635363081,0.829861111111111,58.208333333333336,0.0,2.0
full,official_restored,all48,48,sentences,4,DT_target,0.515625,0.8090277777777777,0.6190476190476191,0.0,0.5208333333333334,0.7715538285217547,1.0,109.77083333333333,0.0,4.0
full,official_restored,all48,48,sentences,4,FT_K1,0.5,0.7847222222222222,0.6001984126984127,0.041666666666666664,0.5,0.754501481933211,1.0,111.875,0.0,4.0
full,official_restored,all48,48,sentences,4,FT_K3,0.5052083333333334,0.7916666666666666,0.6061507936507936,0.041666666666666664,0.5208333333333334,0.7657021987790892,1.0,110.83333333333333,0.0,4.0
full,official_restored,all48,48,sentences,8,DT_target,0.3020833333333333,0.9461805555555555,0.4515782828282828,0.0,0.8333333333333334,0.9246969426113895,1.0,219.91666666666666,0.0,8.0
full,official_restored,all48,48,sentences,8,FT_K1,0.2786458333333333,0.8767361111111112,0.41698232323232326,0.0,0.6875,0.8483166383967339,1.0,215.08333333333334,0.0,8.0
full,official_restored,all48,48,sentences,8,FT_K3,0.2786458333333333,0.8767361111111112,0.41698232323232326,0.0,0.6875,0.8483166383967339,1.0,215.70833333333334,0.0,8.0
full,review_corrected,all48,48,body_tokens,0.05,DT_target,0.5100694444444445,0.5138888888888888,0.48700396825396824,0.020833333333333332,0.10416666666666667,0.4350107241481728,0.6562499999999999,56.020833333333336,3.0208333333333335,2.8541666666666665
