dataset,index,input_sha256,DT_rise,FT_rise,DT_minus_FT_rise,DT_mas,FT_mas,DT_minus_FT_mas,DT_needle,FT_needle,DT_minus_FT_needle
niah_mq_q2,84,86bf8f76e3475d2d150192bed0a48bcfedc9de7ce3dd8e9d29c0b3664508bd1f,0.03441306755260244,0.025778642936596218,0.008634424616006223,0.04759691214241435,0.1291964600873056,-0.08159954794489124,0.9210526315789473,0.8157894736842105,0.10526315789473684
niah_mq_q2,85,50855bf4a9a159970c35bca66d2265fac31d4fd366b225a9a56248c6118cbaa9,0.05018321119253831,0.050582944703530974,-0.0003997335109926642,0.07744379175841423,0.13788403440623043,-0.060440242647816195,1.0,0.8108108108108109,0.18918918918918914
niah_mq_q2,86,b28f7f8af58e41e61d71b5af7dc3a9501bbe25c4f654fe2935586dc8c2f362e9,0.06316067653276955,0.07457627118644068,-0.011415594653671132,0.07851757315561048,0.20060552153429656,-0.12208794837868608,0.46153846153846156,0.2564102564102564,0.20512820512820518
niah_mq_q2,87,c8c7cb2d3423f4fdb1c0f2a348576fe890e4f866491fe365754783ab4cef00ff,0.0510595130748422,0.030951307484220016,0.020108205590622187,0.06614676288566881,0.12488238983076361,-0.05873562694509479,0.9459459459459459,0.8648648648648649,0.08108108108108103
niah_mq_q2,88,6b606f747ce8d755de58f4f002582613329cadbca470501091b5315208876603,0.03849072512647554,0.03581081081081081,0.002679914315664729,0.04867145102865271,0.13030021538781916,-0.08162876435916645,1.0,0.8108108108108109,0.18918918918918914
niah_mq_q2,89,733d35879862bc7ffc91ec0598e7c43e9c0a0340e50a8663af726e758879882d,0.05567765567765568,0.08518348623853211,-0.029505830560876432,0.10138175546467368,0.1904857731598991,-0.08910401769522541,0.375,0.225,0.15
niah_mq_q2,90,73de2995d16363325be87ed9c8d4845494c05acbb9f17ef21853fdfa038bff3c,0.06520979020979022,0.07990367775831875,-0.01469388754852853,0.08710174823005576,0.17793557194919588,-0.09083382371914012,0.4473684210526316,0.2631578947368421,0.1842105263157895
niah_mq_q2,91,51162915fd07f983c796521778ffebe813cfee2c94535b6f75b31e2240008a69,0.05703991130820398,0.0748896247240618,-0.017849713415857817,0.09192337760362519,0.18071603089918703,-0.08879265329556184,0.425,0.25,0.175
niah_mq_q2,92,0fbd413bad4b7ff872762e1039aad14bcc2ad6e2f7985c8e2d904d012b1c7b88,0.047610015174506824,0.04882397572078907,-0.0012139605462822486,0.07191993785545607,0.1343209443253469,-0.06240100646989084,0.9487179487179487,0.8205128205128205,0.1282051282051282
niah_mq_q2,93,c3b5d5f7d86e332d4c346ab5ff0ec79662a89132a5eaaf0eb10213e8a9a5e5e3,0.11631419939577041,0.1059667673716012,0.010347432024169212,0.15983347291100547,0.18619107861163536,-0.026357605700629894,0.4864864864864865,0.1891891891891892,0.2972972972972973
niah_mq_q2,94,2e75a9359c940799e99ad30bdc92163caaa5b1590d23ad31f6af32fd58643a61,0.08644658261446583,0.13396414342629484,-0.04751756081182901,0.140714274116987,0.19325343985703655,-0.05253916574004955,0.3157894736842105,0.2894736842105263,0.02631578947368418
niah_mq_q2,95,e7e19ba8494bad311fde02bb5d089bb80bea3eeb55e5774d33ac6775c2ce5ee7,0.0665231187669991,0.06801270417422868,-0.001489585407229585,0.09220125141312878,0.18212886057288094,-0.08992760915975216,0.4146341463414634,0.1951219512195122,0.2195121951219512
niah_mq_q2,96,bcce7976a30de1a2c377ccd6ff923234751e3111a97bfc68ee5d8249142cc5ac,0.12954115421002838,0.11837121212121213,0.011169942088816248,0.17280867800410027,0.21470862509185,-0.041899947087749745,0.45,0.225,0.225
niah_mq_q2,97,39198adef318fcfc477ef104a5f49d844973513b87a08efdfd4df73907a1f23c,0.04970881863560732,0.09665551839464884,-0.04694669975904152,0.09025484125491964,0.18037944922742405,-0.0901246079725044,0.41025641025641024,0.20512820512820512,0.20512820512820512
niah_mq_q2,98,aa4bae78cb04e5bb6c023a6799a010e0b99eb1717e3f222f15574e63ca3aea76,0.026559792027729633,0.03835646140503035,-0.011796669377300718,0.05833595354181165,0.13388149718424674,-0.0755455436424351,1.0,0.7804878048780488,0.2195121951219512
niah_mq_q2,99,552794542b3726c2d8074e561aa096555460c06425986ef238a6c5808412797d,0.05463302752293577,0.05610704483074108,-0.00147401730780531,0.08943441717284184,0.17959614851117012,-0.09016173133832828,0.41025641025641024,0.23076923076923078,0.17948717948717946
niah_mq_q4,0,8fde9a6bc6e0b100032e2b0592ee21b8854986dc8b36cebd11ff81277c8cf914,0.09503027245206863,0.0792842741935484,0.01574599825852023,0.13172542835340578,0.16705644147558768,-0.0353310131221819,0.5324675324675324,0.5584415584415584,-0.025974025974025983
