dataset,index,method,recall,rise,mas
niah_mq_q2,43,ifr-tokenwise,0.15384615384615385,0.1271621621621622,0.25721248634041644
niah_mq_q2,43,FT_K3,0.28205128205128205,,
niah_mq_q2,44,DT,0.36585365853658536,0.14754196642685852,0.1946956243074533
niah_mq_q2,44,FT_K1,0.3170731707317073,0.12356115107913668,0.259955565159184
niah_mq_q2,44,ifr-tokenwise,0.17073170731707318,0.1393884892086331,0.25750526227473886
niah_mq_q2,44,FT_K3,0.3170731707317073,,
niah_mq_q2,45,DT,0.425,0.18116438356164383,0.24654459448135174
niah_mq_q2,45,FT_K1,0.275,0.14582191780821918,0.2663142600738696
niah_mq_q2,45,ifr-tokenwise,0.15,0.16664383561643836,0.27350834125415036
niah_mq_q2,45,FT_K3,0.275,,
niah_mq_q2,46,DT,0.8947368421052632,0.05925414364640884,0.08160583384009805
niah_mq_q2,46,FT_K1,0.7631578947368421,0.05151933701657459,0.24346839377564816
niah_mq_q2,46,ifr-tokenwise,0.7894736842105263,0.050138121546961324,0.2454568903332015
niah_mq_q2,46,FT_K3,0.7894736842105263,,
niah_mq_q2,47,DT,0.8461538461538461,0.05653409090909091,0.0715864853900399
niah_mq_q2,47,FT_K1,0.6666666666666666,0.05113636363636363,0.24858285423864407
niah_mq_q2,47,ifr-tokenwise,0.717948717948718,0.05681818181818181,0.24829331101573104
niah_mq_q2,47,FT_K3,0.7692307692307693,,
niah_mq_q2,48,DT,0.9512195121951219,0.05113636363636363,0.08091268832565623
niah_mq_q2,48,FT_K1,0.8048780487804879,0.05,0.22910133360058432
niah_mq_q2,48,ifr-tokenwise,0.8292682926829268,0.05539772727272727,0.23676874191273556
niah_mq_q2,48,FT_K3,0.8292682926829268,,
niah_mq_q2,49,DT,0.9210526315789473,0.08679487179487178,0.1055544158607589
niah_mq_q2,49,FT_K1,0.7368421052631579,0.0965384615384615,0.24493128762639493
niah_mq_q2,49,ifr-tokenwise,0.7894736842105263,0.0926923076923077,0.2356137880411766
niah_mq_q2,49,FT_K3,0.7894736842105263,,
niah_mq_q2,50,DT,0.34146341463414637,0.1789893617021277,0.23840324438412458
niah_mq_q2,50,FT_K1,0.2926829268292683,0.13191489361702127,0.27168795798567313
niah_mq_q2,50,ifr-tokenwise,0.1951219512195122,0.1268617021276596,0.25657828077662614
niah_mq_q2,50,FT_K3,0.3170731707317073,,
niah_mq_q2,51,DT,0.4146341463414634,0.13964646464646466,0.16226532795579382
niah_mq_q2,51,FT_K1,0.2926829268292683,0.13964646464646463,0.2504366010591761
niah_mq_q2,51,ifr-tokenwise,0.17073170731707318,0.14090909090909093,0.23929108562467133
niah_mq_q2,51,FT_K3,0.2682926829268293,,
niah_mq_q2,52,DT,0.8717948717948718,0.04469696969696969,0.06834301323843264
niah_mq_q2,52,FT_K1,0.717948717948718,0.04924242424242424,0.243201573245506
niah_mq_q2,52,ifr-tokenwise,0.6666666666666666,0.0452020202020202,0.24614890266983083
niah_mq_q2,52,FT_K3,0.7692307692307693,,
niah_mq_q2,53,DT,0.9743589743589743,0.0651913875598086,0.07715544407064209
niah_mq_q2,53,FT_K1,0.7692307692307693,0.050358851674641145,0.2423557635518839
niah_mq_q2,53,ifr-tokenwise,0.7692307692307693,0.05370813397129187,0.23647515213436215
niah_mq_q2,53,FT_K3,0.8461538461538461,,
niah_mq_q2,54,DT,0.8947368421052632,0.05433333333333333,0.07276225839647761
niah_mq_q2,54,FT_K1,0.7894736842105263,0.043666666666666666,0.24651091763464125
niah_mq_q2,54,ifr-tokenwise,0.7894736842105263,0.051933333333333345,0.2451967970315087
niah_mq_q2,54,FT_K3,0.7894736842105263,,
niah_mq_q2,55,DT,0.35,0.14943438914027146,0.19327938736604472
niah_mq_q2,55,FT_K1,0.225,0.14898190045248869,0.2667021427713426
niah_mq_q2,55,ifr-tokenwise,0.175,0.17070135746606335,0.25350853440258747
niah_mq_q2,55,FT_K3,0.25,,
niah_mq_q2,56,DT,0.39473684210526316,0.1412621359223301,0.16910995809353463
niah_mq_q2,56,FT_K1,0.3157894736842105,0.11529126213592233,0.24210045244390915
niah_mq_q2,56,ifr-tokenwise,0.23684210526315788,0.1320388349514563,0.22325647154544148
niah_mq_q2,56,FT_K3,0.34210526315789475,,
niah_mq_q2,57,DT,0.38461538461538464,0.14764150943396226,0.18998784981834146
niah_mq_q2,57,FT_K1,0.3076923076923077,0.13335579514824797,0.25588455967624946
niah_mq_q2,57,ifr-tokenwise,0.20512820512820512,0.14629380053908356,0.24283049270107143
niah_mq_q2,57,FT_K3,0.3076923076923077,,
niah_mq_q2,58,DT,0.8974358974358975,0.07014285714285715,0.08915044595068047
niah_mq_q2,58,FT_K1,0.7692307692307693,0.054714285714285694,0.2384663323576627
niah_mq_q2,58,ifr-tokenwise,0.7692307692307693,0.042714285714285725,0.23342846395674238
niah_mq_q2,58,FT_K3,0.8461538461538461,,
niah_mq_q2,59,DT,0.4358974358974359,0.14912935323383084,0.19154263255105727
niah_mq_q2,59,FT_K1,0.3333333333333333,0.11878109452736318,0.26903926717536425
niah_mq_q2,59,ifr-tokenwise,0.2564102564102564,0.11803482587064677,0.262912721033192
niah_mq_q2,59,FT_K3,0.358974358974359,,
niah_mq_q2,60,DT,0.37209302325581395,0.14719101123595504,0.1839221697765649
niah_mq_q2,60,FT_K1,0.3023255813953488,0.13426966292134832,0.28181406592042335
niah_mq_q2,60,ifr-tokenwise,0.18604651162790697,0.14396067415730335,0.2808833185491001
niah_mq_q2,60,FT_K3,0.32558139534883723,,
niah_mq_q2,61,DT,0.8974358974358975,0.04864672364672364,0.07296239962289269
niah_mq_q2,61,FT_K1,0.7692307692307693,0.05263532763532763,0.23257264371220315
niah_mq_q2,61,ifr-tokenwise,0.7948717948717948,0.05121082621082621,0.2285113900621
niah_mq_q2,61,FT_K3,0.7692307692307693,,
niah_mq_q2,62,DT,0.9743589743589743,0.044220055710306405,0.06690263129234542
niah_mq_q2,62,FT_K1,0.8461538461538461,0.041991643454038996,0.2457323039806208
niah_mq_q2,62,ifr-tokenwise,0.8205128205128205,0.04254874651810585,0.25482174728970486
niah_mq_q2,62,FT_K3,0.8461538461538461,,
niah_mq_q2,63,DT,0.9487179487179487,0.09388888888888887,0.11391436867837657
niah_mq_q2,63,FT_K1,0.8205128205128205,0.056666666666666664,0.23801020957893101
niah_mq_q2,63,ifr-tokenwise,0.7948717948717948,0.06305555555555556,0.24230728879822844
niah_mq_q2,63,FT_K3,0.8461538461538461,,
niah_mq_q2,64,DT,0.358974358974359,0.1615591397849462,0.21438707473749252
niah_mq_q2,64,FT_K1,0.3076923076923077,0.11451612903225805,0.2628085650316229
niah_mq_q2,64,ifr-tokenwise,0.2564102564102564,0.11451612903225808,0.2501475528293494
niah_mq_q2,64,FT_K3,0.3076923076923077,,
niah_mq_q2,65,DT,0.9210526315789473,0.05796703296703297,0.0752017109394509
niah_mq_q2,65,FT_K1,0.7894736842105263,0.050274725274725277,0.24499027257257772
niah_mq_q2,65,ifr-tokenwise,0.7894736842105263,0.054120879120879116,0.2496210592408908
niah_mq_q2,65,FT_K3,0.8421052631578947,,
niah_mq_q2,66,DT,0.4090909090909091,0.16578947368421054,0.21838064719712547
niah_mq_q2,66,FT_K1,0.25,0.1531578947368421,0.27207426056479134
niah_mq_q2,66,ifr-tokenwise,0.13636363636363635,0.15921052631578947,0.2596953141513394
niah_mq_q2,66,FT_K3,0.2727272727272727,,
niah_mq_q2,67,DT,0.3333333333333333,0.15011961722488038,0.19445389650238276
