dataset,released_task_count,method,RISE,MAS,Recovery,RecoveryBudgetFraction,RecoveryMetric,RecoveryBudgetUnit,RecoveryTargetMode,RecoveryAttributionVariant,RecoveryProtocol
vt_h10_c1,100,CLP,0.45099350019747275,0.5966904111052622,0.44037897390166514,0.3,body_token_recall,eligible_body_tokens,answer_only,CLP,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,100,IFR,0.1525986117827446,0.20107533680564513,0.8265564433117831,0.3,body_token_recall,eligible_body_tokens,answer_only,IFR,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,100,AttnLRP,0.35732583966110615,0.5914958140309188,0.7732976443784798,0.3,body_token_recall,eligible_body_tokens,answer_only,AttnLRP,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,100,FT,0.1425728738076607,0.19815114476641965,0.8340681130317467,0.3,body_token_recall,eligible_body_tokens,answer_only,FT_K3,user-selected-vt-budgets-10-10-20-30-v1
vt_h10_c1,100,DT,0.1448486564752836,0.18509154844048406,0.8774465790989282,0.3,body_token_recall,eligible_body_tokens,answer_only,DT,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,Perturbation,0.13326436720935023,0.22027757220706815,0.375,0.1,supporting_fact_recall,all_body_tokens,full,Perturbation,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,REAGENT,0.14453126145548958,0.23512767796000356,0.34722222222222227,0.1,supporting_fact_recall,all_body_tokens,full,REAGENT,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,CLP,0.10127542207661794,0.18953401005715967,0.4288194444444444,0.1,supporting_fact_recall,all_body_tokens,full,CLP,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,IFR,0.07449378602962407,0.16546583077144414,0.7586805555555555,0.1,supporting_fact_recall,all_body_tokens,full,IFR,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,AttnLRP,0.15479244653303484,0.2493305400456913,0.7482638888888888,0.1,supporting_fact_recall,all_body_tokens,full,AttnLRP,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,FT,0.033045312353093916,0.1276547651392594,0.6666666666666666,0.1,supporting_fact_recall,all_body_tokens,full,FT_K3,user-selected-vt-budgets-10-10-20-30-v1
hotpotqa_long,48,DT,0.028066461916323712,0.06267716681545338,0.7204861111111112,0.1,supporting_fact_recall,all_body_tokens,full,DT,user-selected-vt-budgets-10-10-20-30-v1
math,100,Perturbation,0.38022415165794987,0.5202232481391,,,,,,,
math,100,REAGENT,0.38780784608703917,0.5357643142693312,,,,,,,
math,100,CLP,0.36160960519492663,0.4906671601351046,,,,,,,
math,100,IFR,0.35367534453689975,0.48971088604672147,,,,,,,
math,100,AttnLRP,0.36841190226741444,0.5244215596975499,,,,,,,
math,100,FT,0.3484257432816918,0.4455736688218332,,,,,,,
math,100,DT,0.20291267339101368,0.2888278462900192,,,,,,,
morehopqa,95,Perturbation,0.24885708102930973,0.3470125676232262,,,,,,,
morehopqa,95,REAGENT,0.265208667665898,0.3678727473997453,,,,,,,
morehopqa,95,CLP,0.2486954698220953,0.34783310047727883,,,,,,,
morehopqa,95,IFR,0.14552595508538246,0.22774747289539918,,,,,,,
morehopqa,95,AttnLRP,0.2856810738165367,0.4578729106637439,,,,,,,
morehopqa,95,FT,0.1280203673408996,0.20490643503021283,,,,,,,
morehopqa,95,DT,0.06969680363177658,0.11863209489971657,,,,,,,
