task,index,dt_rise,ft_rise,delta,dt_positive_rise,signed_minus_positive,dt_recall,ft_k3_recall,dt_mas,ft_mas,prompt_length,target_length,eligible_count,gold_count,positive_fraction,negative_fraction,gold_positive_fraction,root_effect,relative_residual,max_replay_l2,score_full,score_deleted,endpoint_gap,dt_zero_step,ft_zero_step,dt_y_1,ft_y_1,dt_deleted_gold_1,ft_deleted_gold_1,dt_negative_deleted_1,dt_y_2,ft_y_2,dt_deleted_gold_2,ft_deleted_gold_2,dt_negative_deleted_2,dt_y_4,ft_y_4,dt_deleted_gold_4,ft_deleted_gold_4,dt_negative_deleted_4,dt_y_10,ft_y_10,dt_deleted_gold_10,ft_deleted_gold_10,dt_negative_deleted_10
niah_mq_q4,61,0.13110820244328095,0.09149214659685863,0.03961605584642232,0.12866492146596858,0.002443280977312362,0.5822784810126582,0.4810126582278481,0.17651541358621142,0.24612393967370694,958,342,861,79,0.5528455284552846,0.44715447154471544,0.9240506329113924,286.6386870616824,-0.001711787636686702,0.0,-109.5,-396.0,286.5,20,13,0.5863874345549738,0.68760907504363,0.27848101265822783,0.20253164556962025,0,0.4607329842931937,0.38394415357766143,0.5822784810126582,0.4430379746835443,0,0.26527050610820246,0.06980802792321117,0.7974683544303798,0.810126582278481,0,0.006980802792321117,0.006980802792321117,0.9240506329113924,0.9367088607594937,0
niah_mq_q4,62,0.13315602836879434,0.0801418439716312,0.05301418439716314,0.13067375886524818,0.0024822695035461584,0.5064935064935064,0.4935064935064935,0.1787551805348444,0.2396348254123366,952,387,855,77,0.519298245614035,0.4807017543859649,0.935064935064935,280.6582972186141,0.0010880839678437415,0.0,-136.0,-418.0,282.0,20,8,0.6666666666666666,0.6631205673758865,0.2857142857142857,0.16883116883116883,0,0.41134751773049644,0.2624113475177305,0.5064935064935064,0.4805194805194805,0,0.19148936170212766,0.07092198581560284,0.7922077922077922,0.7792207792207793,0,0.028368794326241134,0.0,0.935064935064935,0.922077922077922,0
niah_mq_q4,63,0.1315040650406504,0.08658536585365857,0.04491869918699183,0.1315040650406504,0.0,0.6329113924050633,0.569620253164557,0.19159489528688822,0.24429268062458015,958,373,861,79,0.5400696864111498,0.45993031358885017,0.9620253164556962,246.5443999963202,0.0009358522082109059,0.0,-118.0,-364.0,246.0,6,20,0.6422764227642277,0.6300813008130082,0.35443037974683544,0.27848101265822783,0,0.491869918699187,0.1951219512195122,0.6329113924050633,0.5822784810126582,0,0.2764227642276423,0.056910569105691054,0.8607594936708861,0.810126582278481,0,0.0,0.016260162601626018,0.9620253164556962,0.9240506329113924,0
niah_mq_q4,64,0.10994423791821561,0.09172862453531598,0.018215613382899634,0.10994423791821561,0.0,0.5949367088607594,0.43037974683544306,0.14091276420811435,0.26180156291323503,958,406,861,79,0.5481997677119629,0.4518002322880372,0.9873417721518988,269.1488840904751,0.0008193790464565723,0.0,-139.0,-408.0,269.0,10,11,0.5985130111524164,0.6282527881040892,0.3037974683544304,0.16455696202531644,0,0.44609665427509293,0.2899628252788104,0.5949367088607594,0.45569620253164556,0,0.20074349442379183,0.08178438661710037,0.8607594936708861,0.759493670886076,0,0.0,0.01486988847583643,0.9746835443037974,0.9113924050632911,0
niah_mq_q4,65,0.3057355516637478,0.2293782837127846,0.07635726795096318,0.3067863397548162,-0.0010507880910683998,0.21794871794871795,0.15384615384615385,0.4468112957553898,0.2976853447176929,347,406,296,78,0.706081081081081,0.2939189189189189,0.9487179487179487,284.6695474770024,0.00026960771075852104,0.0,-96.5,-382.0,285.5,15,16,0.8441330998248686,0.809106830122592,0.08974358974358974,0.038461538461538464,0,0.7985989492119089,0.7285464098073555,0.21794871794871795,0.11538461538461539,0,0.6760070052539404,0.5464098073555166,0.4230769230769231,0.3076923076923077,0,0.24518388791593695,0.07005253940455342,0.8333333333333334,0.7307692307692307,0
niah_mq_q4,66,0.11940559440559444,0.08898601398601398,0.030419580419580455,0.11940559440559444,0.0,0.5316455696202531,0.46835443037974683,0.15898919394384264,0.2322890427807737,958,398,861,79,0.5481997677119629,0.4518002322880372,0.9620253164556962,284.3083012193682,-0.002142756507545089,0.0,-122.0,-408.0,286.0,19,6,0.7412587412587412,0.6573426573426573,0.3037974683544304,0.20253164556962025,0,0.45454545454545453,0.36363636363636365,0.5316455696202531,0.45569620253164556,0,0.18181818181818182,0.06993006993006994,0.8481012658227848,0.7974683544303798,0,0.006993006993006993,0.0,0.9620253164556962,0.9493670886075949,0
niah_mq_q4,67,0.11499999999999999,0.08611111111111111,0.02888888888888888,0.11499999999999999,0.0,0.575,0.4875,0.15198022677443662,0.22774048398957128,961,407,864,80,0.5590277777777778,0.4409722222222222,0.975,267.8181561636047,-0.00039146905705748783,0.0,-154.0,-424.0,270.0,7,8,0.6666666666666666,0.6518518518518519,0.3,0.1875,0,0.42962962962962964,0.35555555555555557,0.575,0.475,0,0.1925925925925926,0.044444444444444446,0.8,0.825,0,0.0,0.0,0.9625,0.9375,0
niah_mq_q4,68,0.31624767225325884,0.2492085661080074,0.06703910614525144,0.31662011173184357,-0.0003724394785847296,0.1794871794871795,0.14102564102564102,0.45336744150073327,0.30598062386539093,347,459,296,78,0.6925675675675675,0.30743243243243246,0.9358974358974359,269.25534164323375,0.0007232879166499998,0.0,-123.5,-392.0,268.5,14,17,0.9608938547486033,0.8379888268156425,0.11538461538461539,0.02564102564102564,0,0.88268156424581,0.7635009310986964,0.1794871794871795,0.11538461538461539,0,0.6815642458100558,0.5400372439478585,0.3974358974358974,0.2948717948717949,0,0.186219739292365,0.11173184357541899,0.8461538461538461,0.7564102564102564,0
niah_mq_q4,69,0.11856060606060607,0.10662878787878789,0.011931818181818182,0.11856060606060607,0.0,0.5769230769230769,0.47435897435897434,0.15751988703705183,0.2566856533871819,955,381,858,78,0.5547785547785548,0.44522144522144524,0.9487179487179487,262.8029858001006,0.0010203386423079024,0.0,-118.0,-382.0,264.0,9,13,0.75,0.7840909090909091,0.3333333333333333,0.19230769230769232,0,0.38636363636363635,0.3939393939393939,0.5769230769230769,0.46153846153846156,0,0.2196969696969697,0.06060606060606061,0.8205128205128205,0.782051282051282,0,0.0,0.015151515151515152,0.9358974358974359,0.8974358974358975,0
niah_mq_q4,70,0.2645220588235294,0.2248161764705882,0.0397058823529412,0.26488970588235294,-0.0003676470588235281,0.21518987341772153,0.16455696202531644,0.3784683521634188,0.2994582572029024,351,399,299,79,0.6588628762541806,0.3411371237458194,0.9493670886075949,273.5522225176134,0.0015582194657851045,0.0,-130.0,-402.0,272.0,14,16,0.8014705882352942,0.8014705882352942,0.10126582278481013,0.06329113924050633,0,0.7904411764705882,0.7205882352941176,0.21518987341772153,0.12658227848101267,0,0.6102941176470589,0.4852941176470588,0.4050632911392405,0.34177215189873417,0,0.18382352941176472,0.04411764705882353,0.8734177215189873,0.759493670886076,0
