dataset,index,source_start,source_end,DT,DT_source,DT_query_budget_fraction,DT_instruction_budget_fraction,DT_source_gain,source_eligible,budget,ceiling,FT,FT_source,FT_query_budget_fraction,FT_instruction_budget_fraction,FT_source_gain
niah_mv_v2,50,138,4310,0.975,1.0,0.1590909090909091,0.1590909090909091,0.025000000000000022,814,88,1.0,0.75,0.9,0.375,0.056818181818181816,0.15000000000000002
niah_mv_v2,51,138,4316,0.9210526315789473,0.9736842105263158,0.20689655172413793,0.16091954022988506,0.052631578947368474,812,87,1.0,0.8421052631578947,0.9473684210526315,0.3563218390804598,0.06896551724137931,0.10526315789473684
niah_mv_v2,52,138,4324,0.9473684210526315,0.9473684210526315,0.20689655172413793,0.1724137931034483,0.0,812,87,1.0,0.8157894736842105,0.9210526315789473,0.3563218390804598,0.06896551724137931,0.10526315789473684
niah_mv_v2,53,138,1381,0.5,0.75,0.1935483870967742,0.16129032258064516,0.25,253,31,0.775,0.275,0.675,0.6129032258064516,0.03225806451612903,0.4
niah_mv_v2,54,138,4310,1.0,1.0,0.16091954022988506,0.16091954022988506,0.0,810,87,1.0,0.8333333333333334,0.9444444444444444,0.3333333333333333,0.08045977011494253,0.11111111111111105
niah_mv_v2,55,138,4324,1.0,1.0,0.22988505747126436,0.16091954022988506,0.0,812,87,1.0,0.8157894736842105,0.9473684210526315,0.3563218390804598,0.08045977011494253,0.13157894736842102
niah_mv_v2,56,138,1379,0.5,0.75,0.1935483870967742,0.16129032258064516,0.25,253,31,0.775,0.3,0.65,0.5161290322580645,0.03225806451612903,0.35000000000000003
niah_mv_v2,57,138,4316,0.9736842105263158,1.0,0.25287356321839083,0.1839080459770115,0.02631578947368418,812,87,1.0,0.7894736842105263,0.9210526315789473,0.3563218390804598,0.05747126436781609,0.13157894736842102
niah_mv_v2,58,138,4320,0.9736842105263158,0.9736842105263158,0.20689655172413793,0.1724137931034483,0.0,812,87,1.0,0.868421052631579,0.9473684210526315,0.3563218390804598,0.09195402298850575,0.07894736842105254
niah_mv_v2,59,138,4306,0.9473684210526315,0.9473684210526315,0.1724137931034483,0.14942528735632185,0.0,812,87,1.0,0.7368421052631579,0.868421052631579,0.3448275862068966,0.06896551724137931,0.13157894736842113
niah_mv_v2,60,138,1369,0.5789473684210527,0.7894736842105263,0.16129032258064516,0.0967741935483871,0.21052631578947367,251,31,0.8157894736842105,0.2894736842105263,0.7105263157894737,0.5806451612903226,0.03225806451612903,0.42105263157894735
niah_mv_v2,61,138,4318,1.0,1.0,0.20689655172413793,0.16091954022988506,0.0,812,87,1.0,0.8157894736842105,0.9736842105263158,0.3563218390804598,0.09195402298850575,0.1578947368421053
niah_mv_v2,62,138,4320,0.9736842105263158,1.0,0.25287356321839083,0.16091954022988506,0.02631578947368418,812,87,1.0,0.8157894736842105,0.8947368421052632,0.3563218390804598,0.08045977011494253,0.07894736842105265
niah_mv_v2,63,138,4324,0.9722222222222222,1.0,0.20689655172413793,0.16091954022988506,0.02777777777777779,810,87,1.0,0.8611111111111112,0.8888888888888888,0.3333333333333333,0.09195402298850575,0.02777777777777768
niah_mv_v2,64,138,4318,1.0,1.0,0.25287356321839083,0.1724137931034483,0.0,812,87,1.0,0.8157894736842105,0.9473684210526315,0.3563218390804598,0.08045977011494253,0.13157894736842102
niah_mv_v2,65,138,4322,1.0,1.0,0.26436781609195403,0.14942528735632185,0.0,812,87,1.0,0.8157894736842105,0.9210526315789473,0.3563218390804598,0.08045977011494253,0.10526315789473684
niah_mv_v2,66,138,4316,0.9210526315789473,0.9210526315789473,0.2413793103448276,0.14942528735632185,0.0,812,87,1.0,0.8157894736842105,0.8947368421052632,0.3563218390804598,0.08045977011494253,0.07894736842105265
niah_mv_v2,67,138,4318,0.9722222222222222,0.9722222222222222,0.20689655172413793,0.1724137931034483,0.0,810,87,1.0,0.8611111111111112,0.9166666666666666,0.3333333333333333,0.10344827586206896,0.05555555555555547
niah_mv_v2,68,138,4314,0.9736842105263158,0.9736842105263158,0.26436781609195403,0.1724137931034483,0.0,812,87,1.0,0.8157894736842105,0.9210526315789473,0.3563218390804598,0.06896551724137931,0.10526315789473684
niah_mv_v2,69,138,1371,0.5238095238095238,0.7380952380952381,0.1875,0.09375,0.2142857142857143,255,32,0.7619047619047619,0.2619047619047619,0.5952380952380952,0.5625,0.03125,0.3333333333333333
niah_mv_v2,70,138,4317,0.9736842105263158,1.0,0.25287356321839083,0.1839080459770115,0.02631578947368418,812,87,1.0,0.868421052631579,0.9210526315789473,0.3563218390804598,0.06896551724137931,0.05263157894736836
niah_mv_v2,71,138,4308,1.0,1.0,0.1839080459770115,0.11494252873563218,0.0,812,87,1.0,0.8157894736842105,0.9210526315789473,0.3563218390804598,0.08045977011494253,0.10526315789473684
niah_mv_v2,72,138,1391,0.4523809523809524,0.6428571428571429,0.15625,0.125,0.19047619047619052,255,32,0.7619047619047619,0.2619047619047619,0.6190476190476191,0.5625,0.03125,0.35714285714285715
niah_mv_v2,73,138,1375,0.4772727272727273,0.7045454545454546,0.1875,0.15625,0.2272727272727273,257,32,0.7272727272727273,0.2727272727272727,0.6363636363636364,0.5625,0.03125,0.36363636363636365
niah_mv_v2,74,138,1377,0.631578947368421,0.8157894736842105,0.16129032258064516,0.06451612903225806,0.1842105263157895,251,31,0.8157894736842105,0.3157894736842105,0.7631578947368421,0.5161290322580645,0.03225806451612903,0.44736842105263164
niah_mv_v2,75,138,1371,0.5,0.6388888888888888,0.16129032258064516,0.0967741935483871,0.13888888888888884,249,31,0.8611111111111112,0.3055555555555556,0.75,0.6129032258064516,0.03225806451612903,0.4444444444444444
niah_mv_v2,76,138,1386,0.5789473684210527,0.8157894736842105,0.16129032258064516,0.12903225806451613,0.23684210526315785,251,31,0.8157894736842105,0.23684210526315788,0.7105263157894737,0.6451612903225806,0.03225806451612903,0.4736842105263158
niah_mv_v2,77,138,4314,0.975,1.0,0.3068181818181818,0.14772727272727273,0.025000000000000022,814,88,1.0,0.75,0.925,0.375,0.09090909090909091,0.17500000000000004
niah_mv_v2,78,138,1387,0.5263157894736842,0.7894736842105263,0.16129032258064516,0.16129032258064516,0.26315789473684215,251,31,0.8157894736842105,0.23684210526315788,0.7105263157894737,0.6451612903225806,0.03225806451612903,0.4736842105263158
