dataset,index,input_sha256,DT,FT,DT_minus_FT,eligible,gold,budget,gold_density,ceiling,random_expected_recall,DT_adjusted,FT_adjusted,DT_precision,FT_precision,DT_tie_width,FT_tie_width,DT_cutoff,gold_negative_fraction,gold_negative_abs_mass,gold_positive_mass,positive_gold_ceiling,target_tokens,judge_true,span_count,boundary_diff_count,gold_boundary_diff_count,relative_conservation_residual,absolute_conservation_residual,signed_recall,signed_tie_width,absolute_recall,absolute_tie_width,negative_recall,negative_tie_width,DT_recall_5,FT_recall_5,DT_recall_20,FT_recall_20,DT_recall_30,FT_recall_30,DT_recall_50,FT_recall_50,DT_recall_gold_budget,FT_recall_gold_budget
niah_mv_v4,91,59373c83fad860fc41ac4368d171e77e392584a204d0add1d81c9c9d515fe051,0.6904761904761905,0.5833333333333334,0.1071428571428571,873,84,88,0.09621993127147767,1.0,0.10080183276059565,0.6904761904761905,0.5833333333333334,0.6590909090909091,0.5568181818181818,0.0,0.0,0.5861644148826599,0.011904761904761904,0.018923966214060783,108.14241027832031,0.9880952380952381,488,True,4,0,0,0.00019212209182137985,0.029352317625864544,0.6904761904761905,0.0,0.6666666666666666,0.0,0.0,0.0,0.36904761904761907,0.2261904761904762,0.9523809523809523,0.9404761904761905,0.9761904761904762,0.9880952380952381,0.9761904761904762,0.9880952380952381,0.6666666666666666,0.5357142857142857
niah_mv_v4,92,ca0a8656da8bfebd9538ff475e4e41580d612a28313650ef02c31701b2eccfd0,0.6710526315789473,0.6710526315789473,0.0,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.6710526315789473,0.6710526315789473,0.5862068965517241,0.5862068965517241,0.0,0.0,0.532772958278656,0.013157894736842105,0.032528843730688095,88.59825134277344,0.9868421052631579,391,True,4,0,0,0.0009497728082763908,0.15026387711796474,0.6710526315789473,0.0,0.6710526315789473,0.0,0.013157894736842105,0.0,0.3684210526315789,0.2631578947368421,0.9473684210526315,0.9605263157894737,0.9736842105263158,0.9868421052631579,0.9736842105263158,1.0,0.6052631578947368,0.5921052631578947
niah_mv_v4,93,c4671282aa2996408d3a413e2b4a8599164a2df410610fd0ca917f944e1b18a9,0.7,0.625,0.07499999999999996,867,80,87,0.0922722029988466,1.0,0.10034602076124567,0.7,0.625,0.6436781609195402,0.5747126436781609,0.0,0.0,0.4719367027282715,0.0375,0.22298868000507355,90.7792739868164,0.9625,388,True,4,0,0,0.0001373728156129814,0.01989941216868374,0.7,0.0,0.675,0.0,0.0125,0.0,0.375,0.225,0.9,0.9125,0.95,0.9875,0.9625,0.9875,0.65,0.5625
niah_mv_v4,94,bbfd38587e2715a8357f7e11763da70cd3879af2b5ea96498754f857a7f50305,0.7105263157894737,0.6578947368421053,0.05263157894736836,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.7105263157894737,0.6578947368421053,0.6206896551724138,0.5747126436781609,0.0,0.0,0.5829032063484192,0.0,-0.0,93.68150329589844,1.0,347,True,4,0,0,0.0004258478753161266,0.06409539594335456,0.7105263157894737,0.0,0.6973684210526315,0.0,0.0,0.0,0.39473684210526316,0.25,0.9868421052631579,0.9473684210526315,1.0,0.9868421052631579,1.0,1.0,0.6447368421052632,0.5657894736842105
niah_mv_v4,95,140a0e2a6a8bdcba4f729da808827dd0f83966a722e1ffccfd01f0f1805b1c7b,0.6973684210526315,0.6842105263157895,0.013157894736842035,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.6973684210526315,0.6842105263157895,0.6091954022988505,0.5977011494252874,0.0,0.0,0.6372814774513245,0.0,-0.0,101.85458374023438,1.0,406,True,4,0,0,0.0005747344917007173,0.0967146417267486,0.6973684210526315,0.0,0.6842105263157895,0.0,0.0,0.0,0.35526315789473684,0.27631578947368424,0.9868421052631579,0.9342105263157895,0.9868421052631579,0.9868421052631579,1.0,1.0,0.5921052631578947,0.5657894736842105
niah_mv_v4,96,75a77c5d7c281810a3591967ca847eb9713561089572d7f33017546932a7e035,0.75,0.6710526315789473,0.07894736842105265,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.75,0.6710526315789473,0.6551724137931034,0.5862068965517241,0.0,0.0,0.3465224504470825,0.02631578947368421,0.26155441999435425,76.86137390136719,0.9736842105263158,378,True,4,0,0,0.00013714423317250202,0.015544149022929332,0.75,0.0,0.7105263157894737,0.0,0.02631578947368421,0.0,0.3815789473684211,0.27631578947368424,0.9473684210526315,0.9342105263157895,0.9605263157894737,0.9868421052631579,0.9605263157894737,1.0,0.6578947368421053,0.5657894736842105
niah_mv_v4,97,615efbfae9594231fb2756989247afb1455fc004ba5f9a6f66aca1e5c9976181,0.6578947368421053,0.6710526315789473,-0.013157894736842035,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.6578947368421053,0.6710526315789473,0.5747126436781609,0.5862068965517241,0.0,0.0,0.5330229997634888,0.0,-0.0,82.88719177246094,1.0,279,True,4,0,0,0.0016233692820516589,0.24090134254302598,0.6578947368421053,0.0,0.631578947368421,0.0,0.0,0.0,0.34210526315789475,0.2894736842105263,0.9342105263157895,0.9342105263157895,0.9736842105263158,1.0,1.0,1.0,0.5921052631578947,0.5657894736842105
niah_mv_v4,98,5defbd706183e43435897d670ad1cd6ae5f59ff741aa85356210445ac8f2e524,0.7105263157894737,0.6578947368421053,0.05263157894736836,861,76,87,0.08826945412311266,1.0,0.10104529616724739,0.7105263157894737,0.6578947368421053,0.6206896551724138,0.5747126436781609,0.0,0.0,0.5230030417442322,0.02631578947368421,0.09619373828172684,89.25755310058594,0.9736842105263158,354,True,4,0,0,0.0015518736500614008,0.21978935217512685,0.7105263157894737,0.0,0.6842105263157895,0.0,0.013157894736842105,0.0,0.35526315789473684,0.25,0.9210526315789473,0.9473684210526315,0.9605263157894737,0.9868421052631579,0.9736842105263158,1.0,0.6447368421052632,0.5789473684210527
niah_mv_v4,99,06d153feb78be8080b06c82d10d2440dba2960f6e99ac1e3d18135e3abaec193,0.25,0.15789473684210525,0.09210526315789475,294,76,30,0.2585034013605442,0.39473684210526316,0.10204081632653061,0.6333333333333333,0.39999999999999997,0.6333333333333333,0.4,0.0,0.0,1.7866439819335938,0.0,-0.0,97.41434478759766,0.39473684210526316,360,True,4,0,0,0.0011765470424191676,0.17625255218808888,0.25,0.0,0.25,0.0,0.0,0.0,0.11842105263157894,0.07894736842105263,0.4868421052631579,0.40789473684210525,0.7236842105263158,0.6842105263157895,0.9736842105263158,0.9736842105263158,0.631578947368421,0.5657894736842105
niah_mv_v8,0,c80fc621d981fadc277ec61760bbd10df27fc3eeb9c1f01e52d9a32bb5b7d211,0.15476190476190477,0.10714285714285714,0.04761904761904763,333,168,34,0.5045045045045045,0.20238095238095238,0.1021021021021021,0.7647058823529412,0.5294117647058824,0.7647058823529411,0.5294117647058824,0.0,0.0,1.9620614051818848,0.041666666666666664,0.5492463707923889,159.7389678955078,0.20238095238095238,636,True,8,0,0,0.00012673038944613384,0.027660662803668856,0.15476190476190477,0.0,0.15476190476190477,0.0,0.03571428571428571,0.0,0.07738095238095238,0.041666666666666664,0.31547619047619047,0.23809523809523808,0.44642857142857145,0.39285714285714285,0.6607142857142857,0.6785714285714286,0.6607142857142857,0.6845238095238095
niah_mv_v8,1,bfd444487aefbd34a086bbe6dd0f1700e0a778a2468ab5e995b2eb2edf08c04e,0.15476190476190477,0.09523809523809523,0.059523809523809534,333,168,34,0.5045045045045045,0.20238095238095238,0.1021021021021021,0.7647058823529412,0.47058823529411764,0.7647058823529411,0.47058823529411764,0.0,0.0,1.7145742177963257,0.10119047619047619,1.1567671298980713,147.3675994873047,0.20238095238095238,688,True,8,0,0,0.0010787281151945513,0.2081625771153881,0.15476190476190477,0.0,0.15476190476190477,0.0,0.047619047619047616,0.0,0.07738095238095238,0.05357142857142857,0.30357142857142855,0.2261904761904762,0.4642857142857143,0.39285714285714285,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6845238095238095
niah_mv_v8,2,918beb6abe7c22b6fff428f6c0593f67eb31232d85671f4d43de680ca3c00e4f,0.4652777777777778,0.3888888888888889,0.0763888888888889,870,144,87,0.16551724137931034,0.6041666666666666,0.1,0.7701149425287357,0.6436781609195403,0.7701149425287356,0.6436781609195402,0.0,0.0,0.7749125361442566,0.05555555555555555,0.21014443039894104,145.27781677246094,0.6041666666666666,693,True,8,0,0,9.121162134118325e-05,0.016177727212493664,0.4652777777777778,0.0,0.4444444444444444,0.0,0.006944444444444444,0.0,0.22916666666666666,0.14583333333333334,0.7569444444444444,0.7708333333333334,0.8819444444444444,0.9722222222222222,0.9444444444444444,1.0,0.6736111111111112,0.6597222222222222
niah_mv_v8,3,634d37f18e5a29731b65995b381cfdeef502790e7a5edb454adb7434605ef776,0.4276315789473684,0.39473684210526316,0.032894736842105254,880,152,88,0.17272727272727273,0.5789473684210527,0.1,0.7386363636363636,0.6818181818181818,0.7386363636363636,0.6818181818181818,0.0,0.0,0.9130632281303406,0.02631578947368421,0.4727356433868408,146.8610076904297,0.5789473684210527,553,True,8,0,0,7.887055130051104e-05,0.01721015442120688,0.4276315789473684,0.0,0.42105263157894735,0.0,0.013157894736842105,0.0,0.20394736842105263,0.16447368421052633,0.7368421052631579,0.8026315789473685,0.875,0.9671052631578947,0.9473684210526315,1.0,0.6513157894736842,0.7039473684210527
niah_mv_v8,4,9437803ad83976ea5c6340f04e850558edce3c479d458e3bb6e9bf9607f91277,0.4276315789473684,0.3881578947368421,0.03947368421052633,880,152,88,0.17272727272727273,0.5789473684210527,0.1,0.7386363636363636,0.6704545454545454,0.7386363636363636,0.6704545454545454,0.0,0.0,0.8487721085548401,0.03289473684210526,0.06815280765295029,153.46778869628906,0.5789473684210527,668,True,8,0,0,0.0006291927748962218,0.13193784488464644,0.4276315789473684,0.0,0.42105263157894735,0.0,0.0,0.0,0.21710526315789475,0.17105263157894737,0.7171052631578947,0.7631578947368421,0.8881578947368421,0.9671052631578947,0.9671052631578947,1.0,0.6644736842105263,0.7039473684210527
niah_mv_v8,5,d6ec6e768a0954a901c68439f7a8daf244861e13e18c3882b25079244977bf62,0.15476190476190477,0.08928571428571429,0.06547619047619048,333,168,34,0.5045045045045045,0.20238095238095238,0.1021021021021021,0.7647058823529412,0.4411764705882353,0.7647058823529411,0.4411764705882353,0.0,0.0,2.0020227432250977,0.07738095238095238,0.545590341091156,157.6298828125,0.20238095238095238,601,True,8,0,0,0.00034937258387599516,0.07167800382006817,0.15476190476190477,0.0,0.15476190476190477,0.0,0.005952380952380952,0.0,0.08333333333333333,0.047619047619047616,0.2916666666666667,0.23809523809523808,0.4166666666666667,0.3869047619047619,0.6964285714285714,0.6845238095238095,0.6964285714285714,0.6904761904761905
niah_mv_v8,6,9beba3744935999b6e17ec967fd48ed9de7e7065433a9ea8400cc90c81cbcbc3,0.11363636363636363,0.09090909090909091,0.02272727272727272,343,176,35,0.5131195335276968,0.19886363636363635,0.10204081632653061,0.5714285714285714,0.4571428571428572,0.5714285714285714,0.45714285714285713,0.0,0.0,2.353564500808716,0.08522727272727272,0.49846014380455017,171.003173828125,0.19886363636363635,680,True,8,0,0,0.0008878211263979048,0.24702531339062261,0.11363636363636363,0.0,0.11363636363636363,0.0,0.05113636363636364,0.0,0.045454545454545456,0.045454545454545456,0.2556818181818182,0.23863636363636365,0.3977272727272727,0.4034090909090909,0.6420454545454546,0.6818181818181818,0.6477272727272727,0.6931818181818182
niah_mv_v8,7,859f731d592aebea500c2547d33c522594d6d0fc0eacf20d373f0d4e0281c5c9,0.4144736842105263,0.3815789473684211,0.032894736842105254,880,152,88,0.17272727272727273,0.5789473684210527,0.1,0.7159090909090909,0.6590909090909091,0.7159090909090909,0.6590909090909091,0.0,0.0,0.8866586685180664,0.006578947368421052,0.04315533488988876,144.92233276367188,0.5789473684210527,581,True,8,0,0,0.0006457899885794335,0.13998679524456747,0.4144736842105263,0.0,0.40131578947368424,0.0,0.006578947368421052,0.0,0.21052631578947367,0.15789473684210525,0.7368421052631579,0.7763157894736842,0.9144736842105263,0.9539473684210527,0.9802631578947368,1.0,0.6578947368421053,0.6907894736842105
niah_mv_v8,8,bc81cdf6028840b68fbe0adfb5f4fde2b8eda385fbb26b0e445e29856481055f,0.1488095238095238,0.08928571428571429,0.05952380952380952,333,168,34,0.5045045045045045,0.20238095238095238,0.1021021021021021,0.7352941176470588,0.4411764705882353,0.7352941176470589,0.4411764705882353,0.0,0.0,1.9343206882476807,0.06547619047619048,0.8018209338188171,163.81857299804688,0.20238095238095238,685,True,8,0,0,0.0003488388034192093,0.07297423933258074,0.1488095238095238,0.0,0.1488095238095238,0.0,0.017857142857142856,0.0,0.07738095238095238,0.047619047619047616,0.2976190476190476,0.23809523809523808,0.4642857142857143,0.3869047619047619,0.7321428571428571,0.6666666666666666,0.7321428571428571,0.6726190476190477
