dataset,index,method,rise,mas,recall
niah_mq_q2,64,FT_K1,0.11451612903225805,0.2628085650316229,0.3076923076923077
niah_mq_q2,64,FT_K3,,,0.3076923076923077
niah_mq_q2,65,DT,0.047527472527472525,0.07121961688876724,1.0
niah_mq_q2,65,FT_K1,0.050274725274725277,0.24499027257257772,0.7894736842105263
niah_mq_q2,65,FT_K3,,,0.8421052631578947
niah_mq_q2,66,DT,0.15921052631578947,0.21450470780819778,0.45454545454545453
niah_mq_q2,66,FT_K1,0.1531578947368421,0.27207426056479134,0.25
niah_mq_q2,66,FT_K3,,,0.2727272727272727
niah_mq_q2,67,DT,0.13456937799043062,0.17178166755511684,0.48717948717948717
niah_mq_q2,67,FT_K1,0.13911483253588516,0.2581563467533611,0.28205128205128205
niah_mq_q2,67,FT_K3,,,0.3076923076923077
niah_mq_q2,68,DT,0.044047619047619044,0.06557409986866022,1.0
niah_mq_q2,68,FT_K1,0.05327380952380952,0.23563764705874038,0.7435897435897436
niah_mq_q2,68,FT_K3,,,0.7692307692307693
niah_mq_q2,69,DT,0.1423469387755102,0.1670190596421803,0.46153846153846156
niah_mq_q2,69,FT_K1,0.18137755102040817,0.2706814283851795,0.3076923076923077
niah_mq_q2,69,FT_K3,,,0.3076923076923077
niah_mq_q2,70,DT,0.057371794871794876,0.09140975067638535,1.0
niah_mq_q2,70,FT_K1,0.07884615384615383,0.24501135955469375,0.7894736842105263
niah_mq_q2,70,FT_K3,,,0.8421052631578947
niah_mq_q2,71,DT,0.1504385964912281,0.18349044625091987,0.46511627906976744
niah_mq_q2,71,FT_K1,0.1385964912280702,0.2692340757838584,0.32558139534883723
niah_mq_q2,71,FT_K3,,,0.32558139534883723
niah_mq_q2,72,DT,0.054120879120879116,0.07451778055011041,0.975
niah_mq_q2,72,FT_K1,0.05192307692307692,0.24071593774257485,0.825
niah_mq_q2,72,FT_K3,,,0.825
niah_mq_q2,73,DT,0.14807692307692305,0.20493453122105812,0.5277777777777778
niah_mq_q2,73,FT_K1,0.12530769230769231,0.2752463074638503,0.2777777777777778
niah_mq_q2,73,FT_K3,,,0.3055555555555556
niah_mq_q2,74,DT,0.1521641791044776,0.20240606185630344,0.47619047619047616
niah_mq_q2,74,FT_K1,0.14052238805970146,0.27038827133247834,0.30952380952380953
niah_mq_q2,74,FT_K3,,,0.2857142857142857
niah_mq_q2,75,DT,0.07079207920792079,0.09710289773079325,1.0
niah_mq_q2,75,FT_K1,0.08910891089108912,0.24997947839739315,0.7105263157894737
niah_mq_q2,75,FT_K3,,,0.7631578947368421
niah_mq_q2,76,DT,0.03590425531914894,0.05746314958895995,1.0
niah_mq_q2,76,FT_K1,0.05478723404255319,0.24449142893599904,0.7948717948717948
niah_mq_q2,76,FT_K3,,,0.8205128205128205
niah_mq_q2,77,DT,0.11325065274151436,0.12792358090878805,0.5121951219512195
niah_mq_q2,77,FT_K1,0.1137728459530026,0.2664037336167501,0.1951219512195122
niah_mq_q2,77,FT_K3,,,0.24390243902439024
niah_mq_q2,78,DT,0.04494134897360704,0.07068709529838596,1.0
niah_mq_q2,78,FT_K1,0.04846041055718475,0.24728048744691272,0.7948717948717948
niah_mq_q2,78,FT_K3,,,0.7948717948717948
niah_mq_q2,79,DT,0.05026315789473684,0.07469297628583974,0.9743589743589743
niah_mq_q2,79,FT_K1,0.05026315789473684,0.2532284319929413,0.7692307692307693
niah_mq_q2,79,FT_K3,,,0.7948717948717948
