dataset,index,method,recall,rise,mas
vt_h2_c3,24,DT,0.8333333333333334,0.09726890756302523,0.11635114065870031
vt_h2_c3,24,FT_K1,0.6,0.1426470588235294,0.22455586866562444
vt_h2_c3,24,ifr-tokenwise,0.7666666666666667,0.15231092436974789,0.22743788355782352
vt_h2_c3,24,FT_K3,0.6,,
vt_h2_c3,25,DT,0.6666666666666666,0.10562678062678063,0.1271059678300753
vt_h2_c3,25,FT_K1,0.5925925925925926,0.15106837606837606,0.22333201119838525
vt_h2_c3,25,ifr-tokenwise,0.7037037037037037,0.16730769230769232,0.24226332282713567
vt_h2_c3,25,FT_K3,0.5925925925925926,,
vt_h2_c3,26,DT,0.9285714285714286,0.12528571428571428,0.1390642619702339
vt_h2_c3,26,FT_K1,0.7857142857142857,0.173,0.24475884393976116
vt_h2_c3,26,ifr-tokenwise,0.8214285714285714,0.17857142857142855,0.25508480700683267
vt_h2_c3,26,FT_K3,0.7857142857142857,,
vt_h2_c3,27,DT,0.896551724137931,0.17621951219512194,0.2603373334966713
vt_h2_c3,27,FT_K1,0.6206896551724138,0.14378048780487804,0.20580699512005127
vt_h2_c3,27,ifr-tokenwise,0.7241379310344828,0.14378048780487807,0.18913765515983796
vt_h2_c3,27,FT_K3,0.6206896551724138,,
vt_h2_c3,28,DT,0.8846153846153846,0.10259999999999998,0.11581515770989821
vt_h2_c3,28,FT_K1,0.7692307692307693,0.14673333333333333,0.2221885663602759
vt_h2_c3,28,ifr-tokenwise,0.8076923076923077,0.15646666666666667,0.22791355278348555
vt_h2_c3,28,FT_K3,0.7692307692307693,,
vt_h2_c3,29,DT,0.8148148148148148,0.12792479108635096,0.1534705434058221
vt_h2_c3,29,FT_K1,0.5185185185185185,0.14784122562674096,0.22037087809643335
vt_h2_c3,29,ifr-tokenwise,0.7407407407407407,0.16664345403899722,0.23345234606769427
vt_h2_c3,29,FT_K3,0.5185185185185185,,
vt_h2_c3,30,DT,0.8214285714285714,0.11631652661064426,0.12403153860946108
vt_h2_c3,30,FT_K1,0.6785714285714286,0.14978991596638655,0.2192981428658458
vt_h2_c3,30,ifr-tokenwise,0.7857142857142857,0.16491596638655462,0.2409584254050991
vt_h2_c3,30,FT_K3,0.6785714285714286,,
vt_h2_c3,31,DT,0.8333333333333334,0.10035014005602241,0.11850284598424543
vt_h2_c3,31,FT_K1,0.6333333333333333,0.1593137254901961,0.2342359530907884
vt_h2_c3,31,ifr-tokenwise,0.8,0.16561624649859946,0.2524470765817418
vt_h2_c3,31,FT_K3,0.6333333333333333,,
vt_h2_c3,32,DT,0.7,0.10148902821316612,0.11417446690027222
