index,target_mode,method,pooling,budget_unit,budget_value,budget,all_body_tokens,precision,recall,f1,exact_match,complete_support,true_positive,predicted,gold,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection,token_recall,fact_recall_ceiling
2,full,FT_K1,positive_mean_eligible,all_body_tokens,0.05,60,1183,0.0,0.0,0.0,0.0,0.0,0,0,3,0,60,0,1,0.0,0.6666666666666666
2,full,FT_K1,positive_mean_eligible,all_body_tokens,0.1,119,1183,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,78,41,2,0,0.65,0.6666666666666666
2,full,FT_K1,positive_mean_eligible,all_body_tokens,0.2,237,1183,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.0,2,6,3,216,21,6,0,0.65,1.0
2,full,FT_K1,positive_mean_eligible,sentences,2,2,1183,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,78,0,2,0,0.65,0.6666666666666666
2,full,FT_K1,positive_mean_eligible,sentences,4,4,1183,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,167,0,4,0,0.65,1.0
2,full,FT_K1,positive_mean_eligible,sentences,8,8,1183,0.25,0.6666666666666666,0.36363636363636365,0.0,0.0,2,8,3,270,0,8,0,0.65,1.0
2,full,FT_K3,signed_sum,all_body_tokens,0.05,60,1183,0.0,0.0,0.0,0.0,0.0,0,0,3,0,60,0,1,0.0,0.6666666666666666
2,full,FT_K3,signed_sum,all_body_tokens,0.1,119,1183,0.5,0.3333333333333333,0.4,0.0,0.0,1,2,3,105,14,2,0,0.5083333333333333,0.6666666666666666
2,full,FT_K3,signed_sum,all_body_tokens,0.2,237,1183,0.4,0.6666666666666666,0.5,0.0,0.0,2,5,3,208,29,5,0,0.65,1.0
2,full,FT_K3,signed_sum,sentences,2,2,1183,0.5,0.3333333333333333,0.4,0.0,0.0,1,2,3,105,0,2,0,0.5083333333333333,0.6666666666666666
2,full,FT_K3,signed_sum,sentences,4,4,1183,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,2,4,3,167,0,4,0,0.65,1.0
2,full,FT_K3,signed_sum,sentences,8,8,1183,0.25,0.6666666666666666,0.36363636363636365,0.0,0.0,2,8,3,317,0,8,0,0.65,1.0
2,full,FT_K3,positive_mean_eligible,all_body_tokens,0.05,60,1183,0.0,0.0,0.0,0.0,0.0,0,0,3,0,60,0,1,0.0,0.6666666666666666
2,full,FT_K3,positive_mean_eligible,all_body_tokens,0.1,119,1183,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,78,41,2,0,0.65,0.6666666666666666
