index,target_mode,method,all_body_tokens,eligible_body_tokens,omitted_tokens,signed_body_sum,positive_body_sum,negative_body_sum
21,answer_conditioned,DT_target,1458,1309,149,-3.0660240683395035,1.0981347262831989,-4.164158794622702
21,answer_conditioned,FT_K1,1458,1309,149,4.0874299462884665,4.0874299462884665,0.0
21,answer_conditioned,FT_K3,1458,1309,149,3.8805511278187623,3.8805511278187623,0.0
22,answer_conditioned,DT_target,3199,2828,371,-1.2383610238040867,4.42615031670116,-5.664511340505246
22,answer_conditioned,FT_K1,3199,2828,371,26.657027524604928,26.657027524604928,0.0
22,answer_conditioned,FT_K3,3199,2828,371,26.349206811079057,26.349206811079057,0.0
23,answer_conditioned,DT_target,1338,1230,108,0.4859171755417999,3.921796729173637,-3.4358795536318363
23,answer_conditioned,FT_K1,1338,1230,108,19.50026375456946,19.50026375456946,0.0
23,answer_conditioned,FT_K3,1338,1230,108,19.2304853083333,19.2304853083333,0.0
24,answer_conditioned,DT_target,1183,1066,117,2.3387498809770113,5.173033125091775,-2.834283244114765
24,answer_conditioned,FT_K1,1183,1066,117,0.7279129709349945,0.7279129709349945,0.0
24,answer_conditioned,FT_K3,1183,1066,117,0.8041502095729811,0.8041502095729811,0.0
25,answer_conditioned,DT_target,1773,1583,190,5.685766437066531,8.686485023604211,-3.0007185865376798
25,answer_conditioned,FT_K1,1773,1583,190,1.9668724852162995,1.9668724852162995,0.0
25,answer_conditioned,FT_K3,1773,1583,190,1.9226417102836422,1.9226417102836422,0.0
26,answer_conditioned,DT_target,1057,974,83,2.372385184627281,7.0008191143034,-4.6284339296761186
26,answer_conditioned,FT_K1,1057,974,83,5.072835784376366,5.072835784376366,0.0
26,answer_conditioned,FT_K3,1057,974,83,4.850174138249713,4.850174138249713,0.0
27,answer_conditioned,DT_target,1719,1556,163,-0.1752043935963277,2.384387863366301,-2.5595922569626284
27,answer_conditioned,FT_K1,1719,1556,163,9.626322755531874,9.626322755531874,0.0
27,answer_conditioned,FT_K3,1719,1556,163,9.293154093786143,9.293154093786143,0.0
28,answer_conditioned,DT_target,956,888,68,2.292797890609747,3.826694536216606,-1.5338966456068597
28,answer_conditioned,FT_K1,956,888,68,3.516924434865359,3.516924434865359,0.0
28,answer_conditioned,FT_K3,956,888,68,3.47899591064197,3.47899591064197,0.0
29,answer_conditioned,DT_target,896,813,83,1.361819747424382,1.6362372282559439,-0.2744174808315619
29,answer_conditioned,FT_K1,896,813,83,1.5287091922436957,1.5287091922436957,0.0
29,answer_conditioned,FT_K3,896,813,83,1.4754377874705824,1.4754377874705824,0.0
30,answer_conditioned,DT_target,1278,1176,102,1.0245527683318143,2.108856965431693,-1.0843041970998788
30,answer_conditioned,FT_K1,1278,1176,102,0.1925960297921847,0.1925960297921847,0.0
30,answer_conditioned,FT_K3,1278,1176,102,0.21088407590650604,0.21088407590650604,0.0
31,answer_conditioned,DT_target,1796,1624,172,2.7453451687955694,4.923125866091182,-2.1777806972956117
31,answer_conditioned,FT_K1,1796,1624,172,0.9503096406733675,0.9503096406733675,0.0
31,answer_conditioned,FT_K3,1796,1624,172,1.0019614753182395,1.0019614753182395,0.0
32,answer_conditioned,DT_target,1191,1055,136,1.2327109814159964,5.03247690492521,-3.799765923509214
32,answer_conditioned,FT_K1,1191,1055,136,8.953321228618734,8.953321228618734,0.0
32,answer_conditioned,FT_K3,1191,1055,136,8.548248071456328,8.548248071456328,0.0
33,answer_conditioned,DT_target,1095,1012,83,-1.7875573286569753,1.0895746529087782,-2.8771319815657534
33,answer_conditioned,FT_K1,1095,1012,83,8.875232854275964,8.875232854275964,0.0
