target_mode,pooling,budget_unit,budget_value,n,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection
full,positive_mean_eligible,all_body_tokens,0.2,48,FT_K3,0.29645179077744865,0.8506944444444445,0.42373933936433933,0.0,0.625,0.8165592267123326,1.0,240.22916666666666,20.291666666666668,8.354166666666666,0.0
full,positive_mean_eligible,sentences,2,48,DT_target,0.7395833333333334,0.5833333333333334,0.6409722222222222,0.14583333333333334,0.14583333333333334,0.5354514243681573,0.829861111111111,60.395833333333336,0.0,2.0,0.0
full,positive_mean_eligible,sentences,2,48,FT_K1,0.78125,0.625,0.6826388888888889,0.20833333333333334,0.20833333333333334,0.5803243550689597,0.829861111111111,63.166666666666664,0.0,2.0,0.0
full,positive_mean_eligible,sentences,2,48,FT_K3,0.7916666666666666,0.6319444444444444,0.6909722222222222,0.20833333333333334,0.20833333333333334,0.5919392282909758,0.829861111111111,64.54166666666667,0.0,2.0,0.0
full,positive_mean_eligible,sentences,4,48,DT_target,0.515625,0.8090277777777777,0.6190476190476191,0.0,0.5208333333333334,0.7743995561661458,1.0,121.64583333333333,0.0,4.0,0.0
full,positive_mean_eligible,sentences,4,48,FT_K1,0.5,0.7847222222222222,0.6001984126984127,0.041666666666666664,0.5,0.7547681293133196,1.0,124.0625,0.0,4.0,0.0
full,positive_mean_eligible,sentences,4,48,FT_K3,0.5052083333333334,0.7916666666666666,0.6061507936507936,0.041666666666666664,0.5208333333333334,0.7658225510820271,1.0,122.875,0.0,4.0,0.0
full,positive_mean_eligible,sentences,8,48,DT_target,0.3020833333333333,0.9461805555555555,0.4515782828282828,0.0,0.8333333333333334,0.9261787181770905,1.0,244.14583333333334,0.0,8.0,0.0
full,positive_mean_eligible,sentences,8,48,FT_K1,0.2786458333333333,0.8767361111111112,0.41698232323232326,0.0,0.6875,0.8486960798914795,1.0,238.16666666666666,0.0,8.0,0.0
full,positive_mean_eligible,sentences,8,48,FT_K3,0.2786458333333333,0.8767361111111112,0.41698232323232326,0.0,0.6875,0.8486960798914795,1.0,238.83333333333334,0.0,8.0,0.0
full,signed_sum,all_body_tokens,0.05,48,DT_target,0.626736111111111,0.3993055555555555,0.45868055555555554,0.041666666666666664,0.10416666666666667,0.4003997720264445,0.65625,43.895833333333336,21.625,1.3958333333333333,0.16666666666666666
full,signed_sum,all_body_tokens,0.05,48,FT_K1,0.6666666666666666,0.40625,0.48194444444444445,0.10416666666666667,0.125,0.4033250619438971,0.65625,41.520833333333336,24.0,1.2291666666666667,0.1875
full,signed_sum,all_body_tokens,0.05,48,FT_K3,0.6458333333333334,0.3854166666666667,0.461111111111111,0.08333333333333333,0.10416666666666667,0.3896464839957409,0.65625,40.604166666666664,24.916666666666668,1.1875,0.20833333333333334
full,signed_sum,all_body_tokens,0.1,48,DT_target,0.6052083333333333,0.720486111111111,0.619130291005291,0.0625,0.3958333333333333,0.7091215424129181,0.9305555555555555,111.72916666666667,18.833333333333332,3.375,0.0
full,signed_sum,all_body_tokens,0.1,48,FT_K1,0.6749999999999999,0.6753472222222222,0.6386078042328043,0.10416666666666667,0.3333333333333333,0.6919022209043532,0.9305555555555555,105.25,25.3125,2.7916666666666665,0.0
full,signed_sum,all_body_tokens,0.1,48,FT_K3,0.6739583333333333,0.6666666666666666,0.6329365079365079,0.10416666666666667,0.3125,0.6852468327531785,0.9305555555555555,105.39583333333333,25.166666666666668,2.7708333333333335,0.0
full,signed_sum,all_body_tokens,0.2,48,DT_target,0.3849941316853081,0.861111111111111,0.5120101694114852,0.020833333333333332,0.6666666666666666,0.8512561197422682,1.0,232.4375,28.083333333333332,6.625,0.0
full,signed_sum,all_body_tokens,0.2,48,FT_K1,0.4341931216931217,0.8541666666666666,0.5495400432900434,0.020833333333333332,0.6458333333333334,0.8595489868125488,1.0,229.66666666666666,30.854166666666668,5.729166666666667,0.0
full,signed_sum,all_body_tokens,0.2,48,FT_K3,0.44044312169312166,0.861111111111111,0.5567325036075036,0.020833333333333332,0.6666666666666666,0.8635881024588072,1.0,229.39583333333334,31.125,5.708333333333333,0.0
full,signed_sum,sentences,2,48,DT_target,0.7395833333333334,0.5885416666666666,0.6444444444444445,0.1875,0.1875,0.6101626498763659,0.829861111111111,73.45833333333333,0.0,2.0,0.0
full,signed_sum,sentences,2,48,FT_K1,0.7708333333333334,0.6267361111111112,0.6798611111111111,0.2708333333333333,0.2708333333333333,0.6526622897597552,0.829861111111111,80.60416666666667,0.0,2.0,0.0
full,signed_sum,sentences,2,48,FT_K3,0.75,0.6059027777777778,0.6590277777777778,0.22916666666666666,0.22916666666666666,0.6347575478966799,0.829861111111111,82.83333333333333,0.0,2.0,0.0
full,signed_sum,sentences,4,48,DT_target,0.5208333333333334,0.8246527777777777,0.6277281746031745,0.0,0.5625,0.811583111416296,1.0,144.125,0.0,4.0,0.0
full,signed_sum,sentences,4,48,FT_K1,0.4895833333333333,0.7760416666666666,0.5900297619047619,0.020833333333333332,0.4791666666666667,0.7833338853146717,1.0,173.97916666666666,0.0,4.0,0.0
