dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high,all_body_tokens,f1,exact_match,complete_support,true_positive,predicted,token_recall,spent_tokens,unused_tokens,selected_sentences,empty_selection,fact_recall_ceiling
vt_h2_c3,42,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,28,33,0.08484848484848485,1.0,0.1,0.8928571428571429,0.7575757575757576,0.8928571428571429,0.08146973699331284,1,0.8928571428571429,0.8928571428571429,,,,,,,,,,,,
vt_h2_c3,43,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,338,30,34,0.08875739644970414,1.0,0.10059171597633136,0.9,0.7941176470588235,0.9,0.1366993486881256,1,0.9,0.9,,,,,,,,,,,,
vt_h2_c3,44,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,336,31,34,0.09226190476190477,1.0,0.10119047619047619,0.8387096774193549,0.7647058823529411,0.8387096774193549,0.17479929327964783,1,0.8387096774193549,0.8387096774193549,,,,,,,,,,,,
vt_h2_c3,45,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,30,34,0.09009009009009009,1.0,0.1021021021021021,0.9333333333333333,0.8235294117647058,0.9333333333333333,0.13896004855632782,1,0.9333333333333333,0.9333333333333333,,,,,,,,,,,,
vt_h2_c3,46,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,28,34,0.08459214501510574,1.0,0.1027190332326284,0.8571428571428571,0.7058823529411765,0.8571428571428571,0.07389383018016815,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,47,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,26,33,0.0790273556231003,1.0,0.10030395136778116,0.9230769230769231,0.7272727272727273,0.9230769230769231,0.12244077771902084,1,0.9230769230769231,0.9230769230769231,,,,,,,,,,,,
vt_h2_c3,48,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,28,34,0.08459214501510574,1.0,0.1027190332326284,0.8214285714285714,0.6764705882352942,0.8214285714285714,0.0680854395031929,1,0.8214285714285714,0.8214285714285714,,,,,,,,,,,,
vt_h2_c3,49,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,329,28,33,0.0851063829787234,1.0,0.10030395136778116,0.8928571428571429,0.7575757575757576,0.8928571428571429,0.20990996062755585,1,0.8928571428571429,0.8928571428571429,,,,,,,,,,,,
vt_h2_c3,50,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,331,27,34,0.08157099697885196,1.0,0.1027190332326284,0.8148148148148148,0.6470588235294118,0.8148148148148148,0.137789785861969,1,0.8148148148148148,0.8148148148148148,,,,,,,,,,,,
vt_h2_c3,51,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,0.7777777777777778,0.6363636363636364,0.7777777777777778,0.14840911328792572,1,0.7777777777777778,0.7777777777777778,,,,,,,,,,,,
vt_h2_c3,52,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,332,29,34,0.08734939759036145,1.0,0.10240963855421686,0.896551724137931,0.7647058823529411,0.896551724137931,0.11248967796564102,1,0.896551724137931,0.896551724137931,,,,,,,,,,,,
vt_h2_c3,53,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,30,34,0.09009009009009009,1.0,0.1021021021021021,0.8333333333333334,0.7352941176470589,0.8333333333333334,0.20217247307300568,1,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,
vt_h2_c3,54,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,333,30,34,0.09009009009009009,1.0,0.1021021021021021,0.8666666666666667,0.7647058823529411,0.8666666666666667,0.10439888387918472,1,0.8666666666666667,0.8666666666666667,,,,,,,,,,,,
vt_h2_c3,55,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,28,33,0.08484848484848485,1.0,0.1,0.8571428571428571,0.7272727272727273,0.8571428571428571,0.11390255391597748,1,0.8571428571428571,0.8571428571428571,,,,,,,,,,,,
vt_h2_c3,56,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,28,33,0.08484848484848485,1.0,0.1,0.8214285714285714,0.696969696969697,0.8214285714285714,0.15961986780166626,1,0.8214285714285714,0.8214285714285714,,,,,,,,,,,,
vt_h2_c3,57,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.1,335,30,34,0.08955223880597014,1.0,0.10149253731343283,0.9666666666666667,0.8529411764705882,0.9666666666666667,0.13289526104927063,1,0.9666666666666667,0.9666666666666667,,,,,,,,,,,,
