model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,niah_mq_q2_20_DT,returned,16449672704,0.675860095769167,17729846272,24836571136,0,{}
qwen3,main,niah_mq_q2_20_DT_positive_original_metrics,returned,16449672704,2.183030627667904,16839865344,24836571136,0,{}
qwen3,main,niah_mq_q2_20_original_FT_K1,returned,16449672704,0.5148647390305996,18249667072,24836571136,0,{}
qwen3,main,niah_mq_q2_20_FT_K1_original_metrics,returned,16449672704,2.1888768412172794,16839865344,24836571136,0,{}
qwen3,main,niah_mq_q2_20_original_FT_K3,returned,16449672704,0.785316240042448,18249667072,24836571136,0,{}
qwen3,main,niah_mq_q2_21_DT,returned,16449697792,1.2611983343958855,18886018048,24836571136,0,{}
qwen3,main,niah_mq_q2_21_DT_positive_original_metrics,returned,16449697792,3.91443145647645,17237374976,24836571136,0,{}
qwen3,main,niah_mq_q2_21_original_FT_K1,returned,16449697792,0.8634887859225273,21881242624,24836571136,0,{}
qwen3,main,niah_mq_q2_21_FT_K1_original_metrics,returned,16449697792,3.9202189408242702,17237374976,24836571136,0,{}
qwen3,main,niah_mq_q2_21_original_FT_K3,returned,16449697792,1.323410589247942,21881242624,24836571136,0,{}
qwen3,main,niah_mq_q2_22_DT,returned,16449672704,0.7028259113430977,17834924544,24836571136,0,{}
qwen3,main,niah_mq_q2_22_DT_positive_original_metrics,returned,16449672704,2.3346132896840572,16862352384,24836571136,0,{}
qwen3,main,niah_mq_q2_22_original_FT_K1,returned,16449672704,0.5248975232243538,18402881536,24836571136,0,{}
qwen3,main,niah_mq_q2_22_FT_K1_original_metrics,returned,16449672704,2.3346051573753357,16862352384,24836571136,0,{}
qwen3,main,niah_mq_q2_22_original_FT_K3,returned,16449672704,0.8895705305039883,18402881536,24836571136,0,{}
qwen3,main,niah_mq_q2_23_DT,returned,16449695744,1.192060586065054,18727130112,24836571136,0,{}
qwen3,main,niah_mq_q2_23_DT_positive_original_metrics,returned,16449695744,5.018411163240671,17195437568,24836571136,0,{}
qwen3,main,niah_mq_q2_23_original_FT_K1,returned,16449695744,0.8853291161358356,21397014528,24836571136,0,{}
qwen3,main,niah_mq_q2_23_FT_K1_original_metrics,returned,16449695744,5.01882503554225,17195437568,24836571136,0,{}
qwen3,main,niah_mq_q2_23_original_FT_K3,returned,16449695744,1.3515832051634789,21397014528,24836571136,0,{}
qwen3,main,niah_mq_q2_24_DT,returned,16449673728,0.7487428039312363,17951919616,24836571136,0,{}
qwen3,main,niah_mq_q2_24_DT_positive_original_metrics,returned,16449673728,2.1462637037038803,16877547008,24836571136,0,{}
qwen3,main,niah_mq_q2_24_original_FT_K1,returned,16449673728,0.5639858469367027,18504783872,24836571136,0,{}
qwen3,main,niah_mq_q2_24_FT_K1_original_metrics,returned,16449673728,2.1792795583605766,16877547008,24836571136,0,{}
qwen3,main,niah_mq_q2_24_original_FT_K3,returned,16449673728,0.9437522627413273,18504783872,24836571136,0,{}
qwen3,main,niah_mq_q2_25_DT,returned,16449693696,1.1768437586724758,18658984960,24836571136,0,{}
qwen3,main,niah_mq_q2_25_DT_positive_original_metrics,returned,16449693696,4.833165932446718,17177201152,24836571136,0,{}
qwen3,main,niah_mq_q2_25_DT_signed_original_metrics,returned,16449693696,4.857661210000515,17177201152,24836571136,0,{}
